                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   52493608 |   56207648 |   56219078 |   56234271 |   52493614 |   56208348 |   56219078 |   56233572 |   52493601 |   56208348 |   56219077 |   56233572 |   52493608 |   56207648 |   56219077 |   56234271
  Cycles                             |  438755600 |  438755600 |  438755600 |  438755600 |  438755600 |  438755600 |  438755600 |  438755600 |  438755600 |  438755600 |  438755600 |  438755600 |  438755600 |  438755600 |  438755600 |  438755600
  IPC                                |       0.12 |       0.13 |       0.13 |       0.13 |       0.12 |       0.13 |       0.13 |       0.13 |       0.12 |       0.13 |       0.13 |       0.13 |       0.12 |       0.13 |       0.13 |       0.13
  Time (ns)                          |  109688900 |  109688900 |  109688900 |  109688900 |  109688900 |  109688900 |  109688900 |  109688900 |  109688900 |  109688900 |  109688900 |  109688900 |  109688900 |  109688900 |  109688900 |  109688900
  Idle time (ns)                     |   80070337 |   72903939 |   79171040 |   88712440 |   39996075 |   69713987 |   71553472 |   77881469 |   40279788 |   69631182 |   71713446 |   77360470 |   80045536 |   72911854 |   79121025 |   88798673
  Idle time (%)                      |      73.0% |      66.5% |      72.2% |      80.9% |      36.5% |      63.6% |      65.2% |      71.0% |      36.7% |      63.5% |      65.4% |      70.5% |      73.0% |      66.5% |      72.1% |      81.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    8150423 |    3253281 |    3278768 |    3263245 |    8150639 |    3257157 |    3282169 |    3266170 |    8152281 |    3253357 |    3278769 |    3263173 |    8150712 |    3253280 |    3278767 |    3263244
  num incorrect                      |     467355 |     159607 |     134125 |     149937 |     467140 |     155813 |     130724 |     146930 |     465495 |     159613 |     134124 |     149927 |     467066 |     159608 |     134126 |     149938
  misprediction rate                 |      5.42% |      4.68% |      3.93% |      4.39% |      5.42% |      4.57% |      3.83% |      4.30% |      5.40% |      4.68% |      3.93% |      4.39% |      5.42% |      4.68% |      3.93% |      4.39%
  mpki                               |       8.90 |       2.84 |       2.39 |       2.67 |       8.90 |       2.77 |       2.33 |       2.61 |       8.87 |       2.84 |       2.39 |       2.67 |       8.90 |       2.84 |       2.39 |       2.67
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    7533192 |    7925089 |    7926098 |    7931010 |    7533192 |    7925162 |    7926098 |    7930937 |    7533189 |    7925162 |    7926098 |    7930937 |    7533192 |    7925089 |    7926098 |    7931010
    num misses                       |        134 |         26 |         26 |         26 |        134 |         26 |         26 |         26 |        135 |         26 |         26 |         26 |        134 |         26 |         26 |         26
