                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |    90435555 |   393031794 |   691832246 |    24476875 |    90431433 |   529991793 |   554877052 |    24476875 |    90431334 |   529655351 |   555213976 |    24476875 |    90435277 |   390417177 |   694453696 |    24476875
  Cycles                             |  1732614000 |  1732614000 |  1732614000 |  1732614000 |  1732614000 |  1732614000 |  1732614000 |  1732614000 |  1732614000 |  1732614000 |  1732614000 |  1732614000 |  1732614000 |  1732614000 |  1732614000 |  1732614000
  IPC                                |        0.05 |        0.23 |        0.40 |        0.01 |        0.05 |        0.31 |        0.32 |        0.01 |        0.05 |        0.31 |        0.32 |        0.01 |        0.05 |        0.23 |        0.40 |        0.01
  Time (ns)                          |   433153500 |   433153500 |   433153500 |   433153500 |   433153500 |   433153500 |   433153500 |   433153500 |   433153500 |   433153500 |   433153500 |   433153500 |   433153500 |   433153500 |   433153500 |   433153500
  Idle time (ns)                     |   405376858 |   147808762 |   150299903 |   425585568 |   399006283 |    44636802 |    45439783 |   423140713 |   399559946 |    44693406 |    45011108 |   423143467 |   406031538 |   148738159 |   149247136 |   425585708
  Idle time (%)                      |       93.6% |       34.1% |       34.7% |       98.3% |       92.1% |       10.3% |       10.5% |       97.7% |       92.2% |       10.3% |       10.4% |       97.7% |       93.7% |       34.3% |       34.5% |       98.3%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |     5000071 |    34351417 |    60954677 |     1479352 |     4999786 |    46655506 |    48646833 |     1479322 |     5000360 |    46622302 |    48691451 |     1479553 |     5000014 |    34144477 |    61160049 |     1479352
  num incorrect                      |      106962 |      534595 |      976423 |        4384 |      106391 |      735211 |      780214 |        4414 |      105823 |      726974 |      777062 |        4183 |      106968 |      532007 |      981679 |        4384
  misprediction rate                 |       2.09% |       1.53% |       1.58% |       0.30% |       2.08% |       1.55% |       1.58% |       0.30% |       2.07% |       1.54% |       1.57% |       0.28% |       2.09% |       1.53% |       1.58% |       0.30%
  mpki                               |        1.18 |        1.36 |        1.41 |        0.18 |        1.18 |        1.39 |        1.41 |        0.18 |        1.17 |        1.37 |        1.40 |        0.17 |        1.18 |        1.36 |        1.41 |        0.18
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    10638359 |    32540065 |    57469845 |     2786584 |    10637497 |    44047478 |    45962420 |     2786584 |    10637502 |    44025594 |    45984430 |     2786584 |    10638312 |    32380781 |    57628603 |     2786584
    num misses                       |         525 |          84 |          84 |          92 |         508 |          76 |          67 |          92 |         518 |          75 |          73 |          94 |         525 |          85 |          84 |          92
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.01 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    23155487 |    92108592 |   162490670 |     7444858 |    23153781 |   124239234 |   130363741 |     7444858 |    23153757 |   124139858 |   130463265 |     7444858 |    23155369 |    91559716 |   163046191 |     7444858
    num misses                       |       10715 |      389255 |      679679 |        2376 |       10993 |      517354 |      557676 |        2402 |       12481 |      514607 |      556568 |        2359 |        9939 |      382985 |      684186 |        2355
    miss rate                        |       0.05% |       0.42% |       0.42% |       0.03% |       0.05% |       0.42% |       0.43% |       0.03% |       0.05% |       0.41% |       0.43% |       0.03% |       0.04% |       0.42% |       0.42% |       0.03%
    mpki                             |        0.12 |        0.99 |        0.98 |        0.10 |        0.12 |        0.98 |        1.01 |        0.10 |        0.14 |        0.97 |        1.00 |        0.10 |        0.11 |        0.98 |        0.99 |        0.10
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       11240 |      389339 |      679763 |        2468 |       11501 |      517430 |      557743 |        2494 |       12999 |      514682 |      556641 |        2453 |       10464 |      383070 |      684270 |        2447
    num misses                       |        3006 |       11308 |       22010 |         987 |        3064 |       19194 |       26520 |         974 |        3074 |       23022 |       23417 |         981 |        3015 |       13486 |       24188 |         980
    miss rate                        |      26.74% |       2.90% |       3.24% |      39.99% |      26.64% |       3.71% |       4.75% |      39.05% |      23.65% |       4.47% |       4.21% |      39.99% |      28.81% |       3.52% |       3.53% |      40.05%
    mpki                             |        0.03 |        0.03 |        0.03 |        0.04 |        0.03 |        0.04 |        0.05 |        0.04 |        0.03 |        0.04 |        0.04 |        0.04 |        0.03 |        0.03 |        0.03 |        0.04
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    10638359 |    32540065 |    57469845 |     2786584 |    10637497 |    44047478 |    45962420 |     2786584 |    10637502 |    44025594 |    45984430 |     2786584 |    10638312 |    32380781 |    57628603 |     2786584
    num cache misses                 |      138147 |     1935304 |     3393655 |       22717 |      138189 |     2580767 |     2749551 |       22803 |      138207 |     2575935 |     2752132 |       22803 |      138160 |     1915632 |     3413118 |       22717
    miss rate                        |       1.30% |       5.95% |       5.91% |       0.82% |       1.30% |       5.86% |       5.98% |       0.82% |       1.30% |       5.85% |       5.98% |       0.82% |       1.30% |       5.92% |       5.92% |       0.82%
    mpki                             |        1.53 |        4.92 |        4.91 |        0.93 |        1.53 |        4.87 |        4.96 |        0.93 |        1.53 |        4.86 |        4.96 |        0.93 |        1.53 |        4.91 |        4.91 |        0.93
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    23155487 |    92108592 |   162490670 |     7444858 |    23153781 |   124239234 |   130363741 |     7444858 |    23153757 |   124139858 |   130463265 |     7444858 |    23155369 |    91559716 |   163046191 |     7444858
    num cache misses                 |      383796 |     3347244 |     5851702 |      144443 |      383777 |     4464870 |     4743502 |      144533 |      383939 |     4461388 |     4752996 |      144539 |      384115 |     3331513 |     5882940 |      144459
    miss rate                        |       1.66% |       3.63% |       3.60% |       1.94% |       1.66% |       3.59% |       3.64% |       1.94% |       1.66% |       3.59% |       3.64% |       1.94% |       1.66% |       3.64% |       3.61% |       1.94%
    mpki                             |        4.24 |        8.52 |        8.46 |        5.90 |        4.24 |        8.42 |        8.55 |        5.90 |        4.25 |        8.42 |        8.56 |        5.91 |        4.25 |        8.53 |        8.47 |        5.90
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |      577496 |     5315050 |     9314976 |      170194 |      577519 |     7098839 |     7541152 |      170372 |      577713 |     7085732 |     7550686 |      170381 |      577813 |     5284426 |     9355287 |      170209
    num cache misses                 |      393520 |     4456153 |     7795247 |      147770 |      393665 |     5944338 |     6305356 |      147922 |      393739 |     5938888 |     6319705 |      147930 |      393480 |     4430063 |     7825898 |      147773
    miss rate                        |      68.14% |      83.84% |      83.69% |      86.82% |      68.16% |      83.74% |      83.61% |      86.82% |      68.15% |      83.81% |      83.70% |      86.82% |      68.10% |      83.83% |      83.65% |      86.82%
    mpki                             |        4.35 |       11.34 |       11.27 |        6.04 |        4.35 |       11.22 |       11.36 |        6.04 |        4.35 |       11.21 |       11.38 |        6.04 |        4.35 |       11.35 |       11.27 |        6.04
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |     2724036 |     2651932 |     2753984 |     2465218 |     2739776 |     2431684 |     2651178 |     2459883 |     2727604 |     2439239 |     2605603 |     2480356 |     2714492 |     2411547 |     2714356 |     2400943
  average dram access latency (ns)   |       24.08 |       24.05 |       24.03 |       23.98 |       23.98 |       23.97 |       24.01 |       23.95 |       24.01 |       23.97 |       24.06 |       23.97 |       23.97 |       23.93 |       24.00 |       24.03
  average dram queueing delay        |        0.65 |        0.62 |        0.60 |        0.55 |        0.55 |        0.54 |        0.58 |        0.52 |        0.58 |        0.55 |        0.63 |        0.54 |        0.54 |        0.50 |        0.57 |        0.60
  average dram bandwidth utilization |       5.00% |       5.00% |       5.00% |       4.00% |       5.00% |       4.00% |       5.00% |       4.00% |       5.00% |       4.00% |       5.00% |       4.00% |       5.00% |       4.00% |       5.00% |       4.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |      206993 |     2192687 |     4470940 |       62809 |      206999 |     2874405 |     3359598 |       62835 |      207093 |     2854190 |     3382688 |       62840 |      206995 |     2159588 |     4506321 |       62811
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |         257 |      899126 |      917511 |          61 |         260 |     1223311 |     1021172 |          56 |         271 |     1239420 |     1008869 |          58 |         252 |      890866 |      923010 |          61
