                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  1272970129 |    90157437 |    90095234 |    90125260 |  1272970135 |    90142247 |    90102618 |    90097183 |  1272970196 |    90149527 |    90111549 |    90100162 |  1272970111 |    90134285 |    90105483 |    90102889
  Cycles                             |  7227118000 |  7227118000 |  7227118000 |  7227118000 |  7227118000 |  7227118000 |  7227118000 |  7227118000 |  7227118000 |  7227118000 |  7227118000 |  7227118000 |  7227118000 |  7227118000 |  7227118000 |  7227118000
  IPC                                |        0.18 |        0.01 |        0.01 |        0.01 |        0.18 |        0.01 |        0.01 |        0.01 |        0.18 |        0.01 |        0.01 |        0.01 |        0.18 |        0.01 |        0.01 |        0.01
  Time (ns)                          |  1806779500 |  1806779500 |  1806779500 |  1806779500 |  1806779500 |  1806779500 |  1806779500 |  1806779500 |  1806779500 |  1806779500 |  1806779500 |  1806779500 |  1806779500 |  1806779500 |  1806779500 |  1806779500
  Idle time (ns)                     |   789135403 |  1690484245 |  1690578733 |  1740945451 |   116880831 |  1690625203 |  1690678231 |  1726114449 |   117182673 |  1690531342 |  1690568932 |  1726243516 |   784720159 |  1690457624 |  1690495042 |  1740458538
  Idle time (%)                      |       43.7% |       93.6% |       93.6% |       96.4% |        6.5% |       93.6% |       93.6% |       95.5% |        6.5% |       93.6% |       93.6% |       95.5% |       43.4% |       93.6% |       93.6% |       96.3%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   207142929 |     4926775 |     4922980 |     4922313 |   206914667 |     4925600 |     4923671 |     4922069 |   207149767 |     4928684 |     4927198 |     4921675 |   206298538 |     4925690 |     4924623 |     4922890
  num incorrect                      |    21043754 |      385158 |      385473 |      386864 |    21272017 |      384966 |      385379 |      385825 |    21036916 |      382492 |      382569 |      386290 |    21888138 |      385077 |      384711 |      385087
  misprediction rate                 |       9.22% |       7.25% |       7.26% |       7.29% |       9.32% |       7.25% |       7.26% |       7.27% |       9.22% |       7.20% |       7.21% |       7.28% |       9.59% |       7.25% |       7.25% |       7.25%
  mpki                               |       16.53 |        4.27 |        4.28 |        4.29 |       16.71 |        4.27 |        4.28 |        4.28 |       16.53 |        4.24 |        4.25 |        4.29 |       17.19 |        4.27 |        4.27 |        4.27
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   227854507 |     9778869 |     9770253 |     9774976 |   227854502 |     9776208 |     9771251 |     9772693 |   227854514 |     9776950 |     9772158 |     9772904 |   227854499 |     9776585 |     9771748 |     9772845
    num misses                       |         242 |          44 |          44 |          43 |         246 |          47 |          47 |          45 |         245 |          47 |          47 |          45 |         253 |          44 |          44 |          43
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   472807941 |    29952893 |    29934399 |    29946153 |   472807944 |    29948317 |    29936570 |    29937951 |   472807963 |    29950611 |    29940188 |    29938836 |   472807944 |    29945724 |    29937521 |    29939688
    num misses                       |    11580101 |     1808303 |     1790574 |     1844649 |    13328275 |     1794937 |     1802994 |     1817972 |    13314027 |     1890455 |     1872740 |     1914666 |    12152643 |     1810145 |     1793159 |     1815324
    miss rate                        |       2.45% |       6.04% |       5.98% |       6.16% |       2.82% |       5.99% |       6.02% |       6.07% |       2.82% |       6.31% |       6.25% |       6.40% |       2.57% |       6.04% |       5.99% |       6.06%
    mpki                             |        9.10 |       20.06 |       19.87 |       20.47 |       10.47 |       19.91 |       20.01 |       20.18 |       10.46 |       20.97 |       20.78 |       21.25 |        9.55 |       20.08 |       19.90 |       20.15
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    11580343 |     1808347 |     1790618 |     1844692 |    13328521 |     1794984 |     1803041 |     1818017 |    13314272 |     1890502 |     1872787 |     1914711 |    12152896 |     1810189 |     1793203 |     1815367
    num misses                       |     5802165 |     1032484 |     1030829 |     1033145 |     5873411 |     1031819 |     1031595 |     1032983 |     5856703 |     1035304 |     1034041 |     1035300 |     5848058 |     1032585 |     1031246 |     1033062
    miss rate                        |      50.10% |      57.10% |      57.57% |      56.01% |      44.07% |      57.48% |      57.21% |      56.82% |      43.99% |      54.76% |      55.21% |      54.07% |      48.12% |      57.04% |      57.51% |      56.91%
    mpki                             |        4.56 |       11.45 |       11.44 |       11.46 |        4.61 |       11.45 |       11.45 |       11.47 |        4.60 |       11.48 |       11.48 |       11.49 |        4.59 |       11.46 |       11.44 |       11.47
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   227854507 |     9778869 |     9770253 |     9774976 |   227854502 |     9776208 |     9771251 |     9772693 |   227854514 |     9776950 |     9772158 |     9772904 |   227854499 |     9776585 |     9771748 |     9772845
    num cache misses                 |    70185761 |      359912 |      360041 |      358602 |    70186235 |      359260 |      360417 |      358902 |    70185444 |      360538 |      361115 |      359503 |    70185812 |      360629 |      360680 |      358317
    miss rate                        |      30.80% |       3.68% |       3.69% |       3.67% |      30.80% |       3.67% |       3.69% |       3.67% |      30.80% |       3.69% |       3.70% |       3.68% |      30.80% |       3.69% |       3.69% |       3.67%
    mpki                             |       55.14 |        3.99 |        4.00 |        3.98 |       55.14 |        3.99 |        4.00 |        3.98 |       55.14 |        4.00 |        4.01 |        3.99 |       55.14 |        4.00 |        4.00 |        3.98
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   472807941 |    29952893 |    29934399 |    29946153 |   472807944 |    29948317 |    29936570 |    29937951 |   472807963 |    29950611 |    29940188 |    29938836 |   472807944 |    29945724 |    29937521 |    29939688
    num cache misses                 |    19757287 |     1917589 |     1915892 |     1916736 |    19669228 |     1917576 |     1916282 |     1915842 |    19818034 |     1919281 |     1918066 |     1917626 |    19607286 |     1919734 |     1918875 |     1919254
    miss rate                        |       4.18% |       6.40% |       6.40% |       6.40% |       4.16% |       6.40% |       6.40% |       6.40% |       4.19% |       6.41% |       6.41% |       6.41% |       4.15% |       6.41% |       6.41% |       6.41%
    mpki                             |       15.52 |       21.27 |       21.27 |       21.27 |       15.45 |       21.27 |       21.27 |       21.26 |       15.57 |       21.29 |       21.29 |       21.28 |       15.40 |       21.30 |       21.30 |       21.30
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    92287464 |     2317406 |     2315666 |     2315092 |    92170281 |     2316616 |     2316484 |     2314557 |    92311642 |     2319384 |     2318754 |     2316616 |    92117596 |     2319983 |     2319072 |     2316993
    num cache misses                 |    16027916 |     1946234 |     1945099 |     1945776 |    16024997 |     1945802 |     1945624 |     1944439 |    15935093 |     1949354 |     1949036 |     1947843 |    15836071 |     1949333 |     1948724 |     1948659
    miss rate                        |      17.37% |      83.98% |      84.00% |      84.05% |      17.39% |      83.99% |      83.99% |      84.01% |      17.26% |      84.05% |      84.06% |      84.08% |      17.19% |      84.02% |      84.03% |      84.10%
    mpki                             |       12.59 |       21.59 |       21.59 |       21.59 |       12.59 |       21.59 |       21.59 |       21.58 |       12.52 |       21.62 |       21.63 |       21.62 |       12.44 |       21.63 |       21.63 |       21.63
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |     7139749 |     7047601 |     7076631 |     6966964 |     7202920 |     6889859 |     7214482 |     7363489 |     7250917 |     7358328 |     7207833 |     7579900 |     7267646 |     6929225 |     6901983 |     7046797
  average dram access latency (ns)   |       24.19 |       24.26 |       24.21 |       24.25 |       24.16 |       24.29 |       24.28 |       24.22 |       24.21 |       24.33 |       24.29 |       24.49 |       24.19 |       24.37 |       24.24 |       24.25
  average dram queueing delay        |        0.76 |        0.83 |        0.78 |        0.82 |        0.74 |        0.86 |        0.85 |        0.79 |        0.78 |        0.90 |        0.86 |        1.06 |        0.76 |        0.94 |        0.81 |        0.82
  average dram bandwidth utilization |       3.00% |       3.00% |       3.00% |       3.00% |       3.00% |       3.00% |       3.00% |       3.00% |       3.00% |       3.00% |       3.00% |       3.00% |       3.00% |       3.00% |       3.00% |       3.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |    13585427 |     1065451 |     1064216 |     1062320 |    13600481 |     1063707 |     1063115 |     1060815 |    13539228 |     1065424 |     1064956 |     1063221 |    13469685 |     1067694 |     1067046 |     1064337
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |         921 |       33698 |       34281 |       36268 |         989 |       35296 |       35411 |       37020 |         974 |       35562 |       35786 |       36685 |         881 |       33752 |       34207 |       36428
