                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   52493590 |   56207648 |   56221567 |   56231781 |   52493657 |   56207648 |   56221567 |   56231781 |   52493628 |   56207648 |   56221567 |   56231781 |   52493590 |   56207648 |   56219077 |   56234271
  Cycles                             |  124641200 |  124641200 |  124641200 |  124641200 |  124641200 |  124641200 |  124641200 |  124641200 |  124641200 |  124641200 |  124641200 |  124641200 |  124641200 |  124641200 |  124641200 |  124641200
  IPC                                |       0.42 |       0.45 |       0.45 |       0.45 |       0.42 |       0.45 |       0.45 |       0.45 |       0.42 |       0.45 |       0.45 |       0.45 |       0.42 |       0.45 |       0.45 |       0.45
  Time (ns)                          |   31160300 |   31160300 |   31160300 |   31160300 |   31160300 |   31160300 |   31160300 |   31160300 |   31160300 |   31160300 |   31160300 |   31160300 |   31160300 |   31160300 |   31160300 |   31160300
  Idle time (ns)                     |   10488028 |   20919597 |   21233464 |   20997064 |   10518865 |   20670664 |   21121894 |   20658542 |   10480836 |   20762581 |   21102514 |   20692155 |   10496677 |   20718157 |   20970574 |   21099720
  Idle time (%)                      |      33.7% |      67.1% |      68.1% |      67.4% |      33.8% |      66.3% |      67.8% |      66.3% |      33.6% |      66.6% |      67.7% |      66.4% |      33.7% |      66.5% |      67.3% |      67.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    8148813 |    3253282 |    3279038 |    3262973 |    8156354 |    3253281 |    3279039 |    3262971 |    8145733 |    3259097 |    3272640 |    3262973 |    8148397 |    3257082 |    3282169 |    3266144
  num incorrect                      |     468959 |     159606 |     134161 |     149903 |     461435 |     159607 |     134160 |     149905 |     472046 |     153791 |     140559 |     149903 |     469375 |     155806 |     130724 |     147038
  misprediction rate                 |      5.44% |      4.68% |      3.93% |      4.39% |      5.35% |      4.68% |      3.93% |      4.39% |      5.48% |      4.51% |      4.12% |      4.39% |      5.45% |      4.57% |      3.83% |      4.31%
  mpki                               |       8.93 |       2.84 |       2.39 |       2.67 |       8.79 |       2.84 |       2.39 |       2.67 |       8.99 |       2.74 |       2.50 |       2.67 |       8.94 |       2.77 |       2.33 |       2.61
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    7533189 |    7925089 |    7926317 |    7930791 |    7533197 |    7925089 |    7926317 |    7930791 |    7533194 |    7925089 |    7926317 |    7930791 |    7533189 |    7925089 |    7926098 |    7931010
    num misses                       |        135 |         26 |         26 |         26 |        134 |         26 |         26 |         26 |        135 |         26 |         26 |         26 |        135 |         26 |         26 |         26
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   18365255 |   19215878 |   19219022 |   19219674 |   18365276 |   19215878 |   19219022 |   19219674 |   18366557 |   19215878 |   19219022 |   19219674 |   18365250 |   19215878 |   19218017 |   19220679
    num misses                       |        349 |         59 |         80 |         49 |       5205 |         60 |         78 |         49 |        357 |         62 |         81 |         49 |        342 |         58 |         64 |         65
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.03% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.10 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        484 |         85 |        106 |         75 |       5339 |         86 |        104 |         75 |        492 |         88 |        107 |         75 |        477 |         84 |         90 |         91
    num misses                       |        300 |         83 |         94 |         73 |        303 |         83 |         94 |         73 |        301 |         83 |         94 |         73 |        302 |         83 |         89 |         89
    miss rate                        |     61.98% |     97.65% |     88.68% |     97.33% |      5.68% |     96.51% |     90.38% |     97.33% |     61.18% |     94.32% |     87.85% |     97.33% |     63.31% |     98.81% |     98.89% |     97.80%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    7533189 |    7925089 |    7926317 |    7930791 |    7533197 |    7925089 |    7926317 |    7930791 |    7533194 |    7925089 |    7926317 |    7930791 |    7533189 |    7925089 |    7926098 |    7931010
    num cache misses                 |    3853840 |     409760 |     410011 |     410036 |    3853843 |     411158 |     410308 |     412134 |    3853840 |     411158 |     410308 |     412134 |    3853841 |     411959 |     411637 |     410007
    miss rate                        |     51.16% |      5.17% |      5.17% |      5.17% |     51.16% |      5.19% |      5.18% |      5.20% |     51.16% |      5.19% |      5.18% |      5.20% |     51.16% |      5.20% |      5.19% |      5.17%
    mpki                             |      73.42 |       7.29 |       7.29 |       7.29 |      73.42 |       7.31 |       7.30 |       7.33 |      73.42 |       7.31 |       7.30 |       7.33 |      73.42 |       7.33 |       7.32 |       7.29
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   18365255 |   19215878 |   19219022 |   19219674 |   18365276 |   19215878 |   19219022 |   19219674 |   18366557 |   19215878 |   19219022 |   19219674 |   18365250 |   19215878 |   19218017 |   19220679
    num cache misses                 |      11964 |      62706 |      61807 |      62972 |      12050 |      63703 |      62206 |      64568 |      12026 |      63705 |      62207 |      64568 |      12189 |      63705 |      63703 |      62678
    miss rate                        |      0.07% |      0.33% |      0.32% |      0.33% |      0.07% |      0.33% |      0.32% |      0.34% |      0.07% |      0.33% |      0.32% |      0.34% |      0.07% |      0.33% |      0.33% |      0.33%
    mpki                             |       0.23 |       1.12 |       1.10 |       1.12 |       0.23 |       1.13 |       1.11 |       1.15 |       0.23 |       1.13 |       1.11 |       1.15 |       0.23 |       1.13 |       1.13 |       1.11
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3866050 |     472474 |     471828 |     473014 |    3866153 |     474869 |     472524 |     476708 |    3866121 |     474871 |     472525 |     476708 |    3866309 |     475671 |     475347 |     472695
    num cache misses                 |      14043 |       6398 |       3929 |       9829 |      14046 |      16551 |       6692 |      26095 |      14038 |      16558 |       6695 |      26095 |      14234 |      21670 |      21666 |       6389
    miss rate                        |      0.36% |      1.35% |      0.83% |      2.08% |      0.36% |      3.49% |      1.42% |      5.47% |      0.36% |      3.49% |      1.42% |      5.47% |      0.37% |      4.56% |      4.56% |      1.35%
    mpki                             |       0.27 |       0.11 |       0.07 |       0.17 |       0.27 |       0.29 |       0.12 |       0.46 |       0.27 |       0.29 |       0.12 |       0.46 |       0.27 |       0.39 |       0.39 |       0.11
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      16226 |      16333 |      18303 |      11192 |      21593 |      19108 |      11064 |      10083 |       9404 |      17367 |      22072 |      22957 |      11078 |      19309 |      20236 |      11386
  average dram access latency (ns)   |      30.46 |      30.50 |      30.40 |      29.44 |      31.03 |      30.48 |      29.56 |      28.78 |      28.85 |      30.34 |      30.68 |      30.82 |      29.93 |      30.87 |      30.88 |      29.43
