                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   90431379 |  540826788 |  544042525 |   24476875 |   90431168 |  536202179 |  548666782 |   24476875 |   90431024 |  535758803 |  549112278 |   24476875 |   90431368 |  540470848 |  544399938 |   24476875
  Cycles                             |  707104000 |  707104000 |  707104000 |  707104000 |  707104000 |  707104000 |  707104000 |  707104000 |  707104000 |  707104000 |  707104000 |  707104000 |  707104000 |  707104000 |  707104000 |  707104000
  IPC                                |       0.13 |       0.76 |       0.77 |       0.03 |       0.13 |       0.76 |       0.78 |       0.03 |       0.13 |       0.76 |       0.78 |       0.03 |       0.13 |       0.76 |       0.77 |       0.03
  Time (ns)                          |  176776000 |  176776000 |  176776000 |  176776000 |  176776000 |  176776000 |  176776000 |  176776000 |  176776000 |  176776000 |  176776000 |  176776000 |  176776000 |  176776000 |  176776000 |  176776000
  Idle time (ns)                     |  163786983 |   19547548 |   19606882 |  172657556 |  163610210 |   17751279 |   17911058 |  172636443 |  163600724 |   17723040 |   17763799 |  172636652 |  163778303 |   19427717 |   19496274 |  172666107
  Idle time (%)                      |      92.7% |      11.1% |      11.1% |      97.7% |      92.6% |      10.0% |      10.1% |      97.7% |      92.5% |      10.0% |      10.0% |      97.7% |      92.6% |      11.0% |      11.0% |      97.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    4999735 |   47542584 |   47771554 |    1479326 |    4999874 |   47046379 |   48277234 |    1479376 |    4999713 |   46988658 |   48324785 |    1479350 |    4999302 |   47478044 |   47835966 |    1479282
  num incorrect                      |     106454 |     751018 |     752629 |       4410 |     106292 |     747934 |     746201 |       4360 |     106443 |     750660 |     753842 |       4386 |     106885 |     753605 |     750296 |       4454
  misprediction rate                 |      2.08% |      1.56% |      1.55% |      0.30% |      2.08% |      1.56% |      1.52% |      0.29% |      2.08% |      1.57% |      1.54% |      0.30% |      2.09% |      1.56% |      1.54% |      0.30%
