                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  1291439955 |   223512575 |   144813469 |  1542410163 |  1291431877 |   223270332 |   144820611 |  1542397610 |  1291431707 |   223268330 |   144821310 |  1542397461 |  1291439939 |   223522376 |   144823458 |  1542407933
  Cycles                             |  9497200000 |  9497200000 |  9497200000 |  9497200000 |  9497200000 |  9497200000 |  9497200000 |  9497200000 |  9497200000 |  9497200000 |  9497200000 |  9497200000 |  9497200000 |  9497200000 |  9497200000 |  9497200000
  IPC                                |        0.14 |        0.02 |        0.02 |        0.16 |        0.14 |        0.02 |        0.02 |        0.16 |        0.14 |        0.02 |        0.02 |        0.16 |        0.14 |        0.02 |        0.02 |        0.16
  Time (ns)                          |  2374300000 |  2374300000 |  2374300000 |  2374300000 |  2374300000 |  2374300000 |  2374300000 |  2374300000 |  2374300000 |  2374300000 |  2374300000 |  2374300000 |  2374300000 |  2374300000 |  2374300000 |  2374300000
  Idle time (ns)                     |  1580219126 |  2263957330 |  2277152325 |  1708184955 |  1072159605 |  2264620011 |  2277221885 |  1303487881 |  1072261180 |  2264703967 |  2277230674 |  1303532371 |  1580185101 |  2264084583 |  2277141001 |  1708360412
  Idle time (%)                      |       66.6% |       95.4% |       95.9% |       71.9% |       45.2% |       95.4% |       95.9% |       54.9% |       45.2% |       95.4% |       95.9% |       54.9% |       66.6% |       95.4% |       95.9% |       72.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |      790779 |     1226357 |    13537180 |   152523788 |      788603 |     1171721 |    13540699 |   152528478 |      788928 |     1178595 |    13540710 |   152527979 |      787863 |     1229769 |    13539487 |   152533268
  num incorrect                      |       21712 |       66279 |       51181 |    15158720 |       22210 |       60741 |       49240 |    15152020 |       21855 |       53664 |       49083 |    15152496 |       24623 |       66619 |       50972 |    15148655
  misprediction rate                 |       2.67% |       5.13% |       0.38% |       9.04% |       2.74% |       4.93% |       0.36% |       9.04% |       2.70% |       4.35% |       0.36% |       9.04% |       3.03% |       5.14% |       0.38% |       9.03%
  mpki                               |        0.02 |        0.30 |        0.35 |        9.83 |        0.02 |        0.27 |        0.34 |        9.82 |        0.02 |        0.24 |        0.34 |        9.82 |        0.02 |        0.30 |        0.35 |        9.82
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |     1171089 |    12019313 |    10934341 |   153148411 |     1170557 |    12006397 |    10934863 |   153145701 |     1170528 |    12006080 |    10935010 |   153145694 |     1171086 |    12019328 |    10935251 |   153146137
    num misses                       |         114 |          43 |          35 |          51 |         113 |          43 |          35 |          51 |         116 |          43 |          35 |          51 |         112 |          43 |          35 |          51
    miss rate                        |       0.01% |       0.00% |       0.00% |       0.00% |       0.01% |       0.00% |       0.00% |       0.00% |       0.01% |       0.00% |       0.00% |       0.00% |       0.01% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |  1308681501 |    78038248 |    58260035 |   864270818 |  1308678618 |    77957968 |    58260714 |   864266970 |  1308678564 |    77956382 |    58261065 |   864267496 |  1308681533 |    78038723 |    58261441 |   864273375
    num misses                       |      336655 |       20493 |        9714 |       85192 |      334588 |       20232 |        9734 |       87642 |      334674 |       20808 |        9557 |       86259 |      347075 |       24351 |       10406 |       90048
    miss rate                        |       0.03% |       0.03% |       0.02% |       0.01% |       0.03% |       0.03% |       0.02% |       0.01% |       0.03% |       0.03% |       0.02% |       0.01% |       0.03% |       0.03% |       0.02% |       0.01%
    mpki                             |        0.26 |        0.09 |        0.07 |        0.06 |        0.26 |        0.09 |        0.07 |        0.06 |        0.26 |        0.09 |        0.07 |        0.06 |        0.27 |        0.11 |        0.07 |        0.06
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |      336769 |       20536 |        9749 |       85243 |      334701 |       20275 |        9769 |       87693 |      334790 |       20851 |        9592 |       86310 |      347187 |       24394 |       10441 |       90099
    num misses                       |      329049 |       12190 |        4262 |       15024 |      329315 |       12160 |        4236 |       15131 |      329376 |       12185 |        4170 |       15247 |      329127 |       12246 |        4338 |       15359
    miss rate                        |      97.71% |      59.36% |      43.72% |      17.62% |      98.39% |      59.98% |      43.36% |      17.25% |      98.38% |      58.44% |      43.47% |      17.67% |      94.80% |      50.20% |      41.55% |      17.05%
    mpki                             |        0.25 |        0.05 |        0.03 |        0.01 |        0.25 |        0.05 |        0.03 |        0.01 |        0.26 |        0.05 |        0.03 |        0.01 |        0.25 |        0.05 |        0.03 |        0.01
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     1171089 |    12019313 |    10934341 |   153148411 |     1170557 |    12006397 |    10934863 |   153145701 |     1170528 |    12006080 |    10935010 |   153145694 |     1171086 |    12019328 |    10935251 |   153146137
    num cache misses                 |      113368 |     1592045 |      132212 |     1579951 |      113723 |     1572472 |      131833 |     1568476 |      113729 |     1572438 |      132058 |     1568512 |      113371 |     1592407 |      132746 |     1576727
    miss rate                        |       9.68% |      13.25% |       1.21% |       1.03% |       9.72% |      13.10% |       1.21% |       1.02% |       9.72% |      13.10% |       1.21% |       1.02% |       9.68% |      13.25% |       1.21% |       1.03%
    mpki                             |        0.09 |        7.12 |        0.91 |        1.02 |        0.09 |        7.04 |        0.91 |        1.02 |        0.09 |        7.04 |        0.91 |        1.02 |        0.09 |        7.12 |        0.92 |        1.02
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |  1308681501 |    78038248 |    58260035 |   864270818 |  1308678618 |    77957968 |    58260714 |   864266970 |  1308678564 |    77956382 |    58261065 |   864267496 |  1308681533 |    78038723 |    58261441 |   864273375
    num cache misses                 |    20499281 |      472372 |      467426 |    17605008 |    20498505 |      468025 |      465968 |    17600218 |    20498557 |      468258 |      465574 |    17600423 |    20499035 |      472791 |      467448 |    17605659
    miss rate                        |       1.57% |       0.61% |       0.80% |       2.04% |       1.57% |       0.60% |       0.80% |       2.04% |       1.57% |       0.60% |       0.80% |       2.04% |       1.57% |       0.61% |       0.80% |       2.04%
    mpki                             |       15.87 |        2.11 |        3.23 |       11.41 |       15.87 |        2.10 |        3.22 |       11.41 |       15.87 |        2.10 |        3.21 |       11.41 |       15.87 |        2.12 |        3.23 |       11.41
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    20622586 |     2082932 |      615016 |    22218497 |    20622220 |     2056920 |      612693 |    22198835 |    20622120 |     2057241 |      612445 |    22197326 |    20622442 |     2083993 |      615434 |    22214730
    num cache misses                 |    20499329 |      401576 |      376323 |     9526830 |    20498788 |      397523 |      373159 |     9515860 |    20498702 |      397589 |      373014 |     9514213 |    20499349 |      402577 |      376320 |     9522718
    miss rate                        |      99.40% |      19.28% |      61.19% |      42.88% |      99.40% |      19.33% |      60.90% |      42.87% |      99.40% |      19.33% |      60.91% |      42.86% |      99.40% |      19.32% |      61.15% |      42.87%
    mpki                             |       15.87 |        1.80 |        2.60 |        6.18 |       15.87 |        1.78 |        2.58 |        6.17 |       15.87 |        1.78 |        2.58 |        6.17 |       15.87 |        1.80 |        2.60 |        6.17
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |    14455875 |    14674858 |    14932439 |    14560775 |    14446739 |    14616195 |    14587647 |    14587569 |    14488938 |    14475865 |    14580992 |    14652914 |    14608051 |    14442879 |    14420698 |    14454750
  average dram access latency (ns)   |       23.82 |       23.86 |       24.04 |       23.94 |       23.86 |       23.78 |       24.14 |       23.98 |       23.74 |       23.78 |       23.78 |       23.83 |       23.76 |       23.82 |       23.72 |       23.78
  average dram queueing delay        |        0.39 |        0.43 |        0.62 |        0.51 |        0.43 |        0.35 |        0.71 |        0.55 |        0.31 |        0.35 |        0.35 |        0.40 |        0.33 |        0.39 |        0.29 |        0.35
  average dram bandwidth utilization |       5.00% |       5.00% |       5.00% |       5.00% |       5.00% |       5.00% |       5.00% |       5.00% |       5.00% |       5.00% |       5.00% |       5.00% |       5.00% |       5.00% |       5.00% |       5.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |      366941 |      247279 |      230027 |     4882394 |      366821 |      245124 |      228195 |     4872960 |      366716 |      245070 |      227734 |     4871516 |      367008 |      247580 |      232122 |     4881030
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |         261 |        7881 |       19945 |        1859 |         247 |        7835 |       19309 |        1038 |         240 |        7917 |       19647 |        1052 |         249 |        8157 |       17880 |        1890
