                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   86007097 |   62094528 |   59354472 |   62158776 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  216712400 |  216712400 |  216712400 |  216712400 |  216712400 |  216712400 |  216712400 |  216712400 |  216712400 |  216712400 |  216712400 |  216712400 |  216712400 |  216712400 |  216712400 |  216712400
  IPC                                |       0.40 |       0.29 |       0.27 |       0.29 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   54178100 |   54178100 |   54178100 |   54178100 |   54178100 |   54178100 |   54178100 |   54178100 |   54178100 |   54178100 |   54178100 |   54178100 |   54178100 |   54178100 |   54178100 |   54178100
  Idle time (ns)                     |   21337306 |    5905988 |    8086550 |   27582332 |   54178100 |   54178100 |   54178100 |   54178100 |   54178100 |   54178100 |   54178100 |   54178100 |   54178100 |   54178100 |   54178100 |   54178100
  Idle time (%)                      |      39.4% |      10.9% |      14.9% |      50.9% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10408417 |    8501631 |    8126186 |    8511373 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |      26164 |      19599 |      19853 |      21471 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.25% |      0.23% |      0.24% |      0.25% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.30 |       0.32 |       0.33 |       0.35 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    5429718 |    2386463 |    2306686 |    2415217 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        132 |         36 |         36 |         36 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   35980452 |   26093155 |   24922043 |   26089528 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      47216 |      43769 |      41990 |      44354 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.13% |      0.17% |      0.17% |      0.17% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.55 |       0.70 |       0.71 |       0.71 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      47348 |      43805 |      42026 |      44390 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      17126 |      13286 |      12875 |      15647 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     36.17% |     30.33% |     30.64% |     35.25% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.20 |       0.21 |       0.22 |       0.25 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5429718 |    2386463 |    2306686 |    2415217 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      16968 |      11417 |      11191 |      11326 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.31% |      0.48% |      0.49% |      0.47% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.20 |       0.18 |       0.19 |       0.18 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   35980452 |   26093155 |   24922043 |   26089528 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    2445448 |    2257054 |    2164078 |    2267804 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      6.80% |      8.65% |      8.68% |      8.69% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      28.43 |      36.35 |      36.46 |      36.48 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3908229 |    3644345 |    3489624 |    3659639 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    1814093 |    1643967 |    1577488 |    1657697 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     46.42% |     45.11% |     45.21% |     45.30% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      21.09 |      26.48 |      26.58 |      26.67 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     621703 |     642379 |     659674 |     679107 |     704998 |     731707 |     738216 |     755374 |     771622 |     778268 |     794547 |     818000 |     828872 |     837932 |     849749 |     861933
  average dram access latency (ns)   |      26.17 |      25.76 |      26.10 |      25.85 |      26.36 |      26.20 |      26.21 |      25.88 |      26.28 |      25.70 |      26.25 |      26.10 |      26.12 |      25.65 |      26.17 |      25.75
  average dram queueing delay        |       2.74 |       2.33 |       2.67 |       2.43 |       2.93 |       2.77 |       2.78 |       2.45 |       2.85 |       2.27 |       2.82 |       2.67 |       2.69 |       2.22 |       2.74 |       2.32
  average dram bandwidth utilization |      9.00% |      9.00% |     10.00% |     10.00% |     10.00% |     11.00% |     11.00% |     11.00% |     12.00% |     12.00% |     12.00% |     12.00% |     12.00% |     13.00% |     13.00% |     13.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
