                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  209145100 |  224903247 |  224943067 |  224930381 |  209145111 |  224903247 |  224943067 |  224930381 |  209145100 |  224903247 |  224943067 |  224930381 |  209145100 |  224903247 |  224943067 |  224930381
  Cycles                             |  499783600 |  499783600 |  499783600 |  499783600 |  499783600 |  499783600 |  499783600 |  499783600 |  499783600 |  499783600 |  499783600 |  499783600 |  499783600 |  499783600 |  499783600 |  499783600
  IPC                                |       0.42 |       0.45 |       0.45 |       0.45 |       0.42 |       0.45 |       0.45 |       0.45 |       0.42 |       0.45 |       0.45 |       0.45 |       0.42 |       0.45 |       0.45 |       0.45
  Time (ns)                          |  124945900 |  124945900 |  124945900 |  124945900 |  124945900 |  124945900 |  124945900 |  124945900 |  124945900 |  124945900 |  124945900 |  124945900 |  124945900 |  124945900 |  124945900 |  124945900
  Idle time (ns)                     |   42715379 |   82253809 |   83111679 |   83052526 |   42843805 |   82365838 |   83241845 |   83032636 |   42806842 |   82296810 |   83157165 |   82968541 |   42887086 |   82244068 |   83105676 |   83036828
  Idle time (%)                      |      34.2% |      65.8% |      66.5% |      66.5% |      34.3% |      65.9% |      66.6% |      66.5% |      34.3% |      65.9% |      66.6% |      66.4% |      34.3% |      65.8% |      66.5% |      66.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   32445752 |   13032339 |   13128249 |   13095500 |   32485434 |   13032338 |   13128247 |   13095500 |   32481201 |   13029338 |   13124454 |   13092500 |   32483961 |   13032340 |   13128249 |   13095500
  num incorrect                      |    1870483 |     620631 |     524950 |     557376 |    1830805 |     620632 |     524952 |     557376 |    1835034 |     623632 |     528745 |     560376 |    1832274 |     620630 |     524950 |     557376
  misprediction rate                 |      5.45% |      4.55% |      3.84% |      4.08% |      5.34% |      4.55% |      3.84% |      4.08% |      5.35% |      4.57% |      3.87% |      4.10% |      5.34% |      4.55% |      3.84% |      4.08%
