                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   192522831 |  1757723069 |  1756784118 |    48937094 |   192522809 |  1757870112 |  1756636950 |    48937094 |   192522685 |  1756406820 |  1758102037 |    48937094 |   192523004 |  1756702924 |  1757804998 |    48937094
  Cycles                             |  2347151600 |  2347151600 |  2347151600 |  2347151600 |  2347151600 |  2347151600 |  2347151600 |  2347151600 |  2347151600 |  2347151600 |  2347151600 |  2347151600 |  2347151600 |  2347151600 |  2347151600 |  2347151600
  IPC                                |        0.08 |        0.75 |        0.75 |        0.02 |        0.08 |        0.75 |        0.75 |        0.02 |        0.08 |        0.75 |        0.75 |        0.02 |        0.08 |        0.75 |        0.75 |        0.02
  Time (ns)                          |   586787900 |   586787900 |   586787900 |   586787900 |   586787900 |   586787900 |   586787900 |   586787900 |   586787900 |   586787900 |   586787900 |   586787900 |   586787900 |   586787900 |   586787900 |   586787900
  Idle time (ns)                     |   559504388 |    32710115 |    32772752 |   579973998 |   559482444 |    32249794 |    32456553 |   579986058 |   559520176 |    31570041 |    31412235 |   579997270 |   559506885 |    33082208 |    33127301 |   579970532
  Idle time (%)                      |       95.4% |        5.6% |        5.6% |       98.8% |       95.3% |        5.5% |        5.5% |       98.8% |       95.4% |        5.4% |        5.4% |       98.8% |       95.4% |        5.6% |        5.6% |       98.8%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    10924182 |   150812883 |   150526085 |     2960612 |    10922577 |   150751141 |   150493765 |     2960617 |    10922803 |   150482509 |   150799249 |     2960624 |    10923237 |   150556866 |   150752759 |     2960610
  num incorrect                      |      214862 |     2777574 |     2774807 |        8036 |      216508 |     2821696 |     2824671 |        8031 |      216256 |     2801154 |     2808713 |        8024 |      215835 |     2792124 |     2789707 |        8038
  misprediction rate                 |       1.93% |       1.81% |       1.81% |       0.27% |       1.94% |       1.84% |       1.84% |       0.27% |       1.94% |       1.83% |       1.83% |       0.27% |       1.94% |       1.82% |       1.82% |       0.27%
  mpki                               |        1.12 |        1.58 |        1.58 |        0.16 |        1.12 |        1.61 |        1.61 |        0.16 |        1.12 |        1.59 |        1.60 |        0.16 |        1.12 |        1.59 |        1.59 |        0.16
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    23486455 |   143187388 |   143044617 |     5562588 |    23486493 |   143201488 |   143030460 |     5562588 |    23486475 |   143012722 |   143219398 |     5562588 |    23486486 |   143034900 |   143197180 |     5562588
    num misses                       |         633 |          74 |          72 |         105 |         586 |          79 |          67 |          99 |         601 |          73 |          75 |         102 |         617 |          72 |          74 |         101
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    51120471 |   423128367 |   422641023 |    14866913 |    51120528 |   423141670 |   422627691 |    14866913 |    51120503 |   422586238 |   423183489 |    14866913 |    51120492 |   422667584 |   423101915 |    14866913
    num misses                       |       18415 |     1965649 |     1984468 |        4802 |       18640 |     1955963 |     1994497 |        4675 |       18949 |     1969841 |     1951250 |        4623 |       36023 |     2100331 |     2101998 |        4611
    miss rate                        |       0.04% |       0.46% |       0.47% |       0.03% |       0.04% |       0.46% |       0.47% |       0.03% |       0.04% |       0.47% |       0.46% |       0.03% |       0.07% |       0.50% |       0.50% |       0.03%
    mpki                             |        0.10 |        1.12 |        1.13 |        0.10 |        0.10 |        1.11 |        1.14 |        0.10 |        0.10 |        1.12 |        1.11 |        0.09 |        0.19 |        1.20 |        1.20 |        0.09
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       19048 |     1965723 |     1984540 |        4907 |       19226 |     1956042 |     1994564 |        4774 |       19550 |     1969914 |     1951325 |        4725 |       36640 |     2100403 |     2102072 |        4712
    num misses                       |        6275 |      102870 |      117152 |        1466 |        6315 |       69265 |       81370 |        1463 |        6235 |      109549 |      107874 |        1471 |        6181 |       52933 |       46018 |        1453
    miss rate                        |      32.94% |       5.23% |       5.90% |      29.88% |      32.85% |       3.54% |       4.08% |      30.65% |      31.89% |       5.56% |       5.53% |      31.13% |      16.87% |       2.52% |       2.19% |      30.84%
    mpki                             |        0.03 |        0.06 |        0.07 |        0.03 |        0.03 |        0.04 |        0.05 |        0.03 |        0.03 |        0.06 |        0.06 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
