                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  209145111 |  224903247 |  224940577 |  224932871 |  209145111 |  224903247 |  224943067 |  224930381 |  209145111 |  224903247 |  224943067 |  224930381 |  209145111 |  224903247 |  224943067 |  224930381
  Cycles                             |  499232400 |  499232400 |  499232400 |  499232400 |  499232400 |  499232400 |  499232400 |  499232400 |  499232400 |  499232400 |  499232400 |  499232400 |  499232400 |  499232400 |  499232400 |  499232400
  IPC                                |       0.42 |       0.45 |       0.45 |       0.45 |       0.42 |       0.45 |       0.45 |       0.45 |       0.42 |       0.45 |       0.45 |       0.45 |       0.42 |       0.45 |       0.45 |       0.45
  Time (ns)                          |  124808100 |  124808100 |  124808100 |  124808100 |  124808100 |  124808100 |  124808100 |  124808100 |  124808100 |  124808100 |  124808100 |  124808100 |  124808100 |  124808100 |  124808100 |  124808100
  Idle time (ns)                     |   42661884 |   82235424 |   82976598 |   83057196 |   42682038 |   82240814 |   83082072 |   82927649 |   42754175 |   82241654 |   83081208 |   82922545 |   42600064 |   82231726 |   83102840 |   82901812
  Idle time (%)                      |      34.2% |      65.9% |      66.5% |      66.5% |      34.2% |      65.9% |      66.6% |      66.4% |      34.3% |      65.9% |      66.6% |      66.4% |      34.1% |      65.9% |      66.6% |      66.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   32481437 |   13046438 |   13130078 |   13109572 |   32461635 |   13032338 |   13128247 |   13095499 |   32475534 |   13032338 |   13128247 |   13095500 |   32465065 |   13032338 |   13128246 |   13095498
  num incorrect                      |    1834802 |     606532 |     522815 |     543610 |    1854604 |     620632 |     524952 |     557377 |    1840705 |     620632 |     524952 |     557376 |    1851174 |     620632 |     524953 |     557378
  misprediction rate                 |      5.35% |      4.44% |      3.83% |      3.98% |      5.40% |      4.55% |      3.84% |      4.08% |      5.36% |      4.55% |      3.84% |      4.08% |      5.39% |      4.55% |      3.84% |      4.08%
  mpki                               |       8.77 |       2.70 |       2.32 |       2.42 |       8.87 |       2.76 |       2.33 |       2.48 |       8.80 |       2.76 |       2.33 |       2.48 |       8.85 |       2.76 |       2.33 |       2.48
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   30025113 |   31711362 |   31723098 |   31711810 |   30025113 |   31711362 |   31723317 |   31711591 |   30025113 |   31711362 |   31723317 |   31711591 |   30025113 |   31711362 |   31723317 |   31711591
    num misses                       |        134 |         26 |         26 |         26 |        134 |         26 |         26 |         26 |        134 |         26 |         26 |         26 |        135 |         26 |         26 |         26
