                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   192522684 |  1758166292 |  1756342813 |    48937094 |   192522679 |  1755801754 |  1758707672 |    48937094 |   192523003 |  1755876527 |  1758633919 |    48937094 |   192522979 |  1758099337 |  1756407934 |    48937094
  Cycles                             |  2344874800 |  2344874800 |  2344874800 |  2344874800 |  2344874800 |  2344874800 |  2344874800 |  2344874800 |  2344874800 |  2344874800 |  2344874800 |  2344874800 |  2344874800 |  2344874800 |  2344874800 |  2344874800
  IPC                                |        0.08 |        0.75 |        0.75 |        0.02 |        0.08 |        0.75 |        0.75 |        0.02 |        0.08 |        0.75 |        0.75 |        0.02 |        0.08 |        0.75 |        0.75 |        0.02
  Time (ns)                          |   586218700 |   586218700 |   586218700 |   586218700 |   586218700 |   586218700 |   586218700 |   586218700 |   586218700 |   586218700 |   586218700 |   586218700 |   586218700 |   586218700 |   586218700 |   586218700
  Idle time (ns)                     |   558885771 |    32637860 |    33040397 |   579385427 |   558885276 |    32276560 |    31774414 |   579383532 |   558909029 |    31709506 |    31420257 |   579401482 |   558913960 |    32811840 |    33323221 |   579385006
  Idle time (%)                      |       95.3% |        5.6% |        5.6% |       98.8% |       95.3% |        5.5% |        5.4% |       98.8% |       95.3% |        5.4% |        5.4% |       98.8% |       95.3% |        5.6% |        5.7% |       98.8%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    10922955 |   150843791 |   150481518 |     2960645 |    10923095 |   150461338 |   150868891 |     2960617 |    10924275 |   150458713 |   150882162 |     2960646 |    10923248 |   150820756 |   150505818 |     2960597
  num incorrect                      |      216113 |     2783871 |     2782457 |        8003 |      215966 |     2784417 |     2776988 |        8031 |      214795 |     2777996 |     2772902 |        8002 |      215823 |     2784230 |     2780459 |        8051
  misprediction rate                 |       1.94% |       1.81% |       1.82% |       0.27% |       1.94% |       1.82% |       1.81% |       0.27% |       1.93% |       1.81% |       1.80% |       0.27% |       1.94% |       1.81% |       1.81% |       0.27%
  mpki                               |        1.12 |        1.58 |        1.58 |        0.16 |        1.12 |        1.59 |        1.58 |        0.16 |        1.12 |        1.58 |        1.58 |        0.16 |        1.12 |        1.58 |        1.58 |        0.16
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    23486470 |   143221148 |   143011129 |     5562588 |    23486471 |   142961483 |   143270858 |     5562588 |    23486482 |   142967637 |   143264688 |     5562588 |    23486480 |   143218407 |   143013704 |     5562588
    num misses                       |         621 |          75 |          73 |         102 |         656 |          72 |          75 |          92 |         646 |          72 |          74 |         100 |         605 |          75 |          66 |         108
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    51120513 |   423237010 |   422532782 |    14866913 |    51120508 |   422445944 |   423324084 |    14866913 |    51120536 |   422477622 |   423292854 |    14866913 |    51120516 |   423214285 |   422554907 |    14866913
    num misses                       |       18312 |     1959535 |     1964187 |        4629 |       18418 |     1982831 |     1968193 |        4611 |       18237 |     1983906 |     1953363 |        4804 |       18881 |     1966187 |     1975381 |        4622
