                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   390087564 |   783186297 |   843465750 |   834488485 |   894727753 |   390087564 |   783199466 |   843423501 |   834511788 |   894729380 |   390087564 |   783362565 |   843439492 |   834718806 |   894730139 |           0
  Cycles                             |  1234410400 |  1234410400 |  1234410400 |  1234410400 |  1234410400 |  1234410400 |  1234410400 |  1234410400 |  1234410400 |  1234410400 |  1234410400 |  1234410400 |  1234410400 |  1234410400 |  1234410400 |  1234410400
  IPC                                |        0.32 |        0.63 |        0.68 |        0.68 |        0.72 |        0.32 |        0.63 |        0.68 |        0.68 |        0.72 |        0.32 |        0.63 |        0.68 |        0.68 |        0.72 |        0.00
  Time (ns)                          |   308602600 |   308602600 |   308602600 |   308602600 |   308602600 |   308602600 |   308602600 |   308602600 |   308602600 |   308602600 |   308602600 |   308602600 |   308602600 |   308602600 |   308602600 |   308602600
  Idle time (ns)                     |   249835026 |    86931462 |    70223986 |    73259143 |    59022038 |   249780082 |    86940741 |    70220670 |    73039103 |    58875664 |   249806717 |    85206869 |    70172910 |    73083491 |    58854850 |   308602600
  Idle time (%)                      |       81.0% |       28.2% |       22.8% |       23.7% |       19.1% |       80.9% |       28.2% |       22.8% |       23.7% |       19.1% |       80.9% |       27.6% |       22.7% |       23.7% |       19.1% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    43980036 |    90445974 |    96360762 |    96040110 |   102171951 |    43978176 |    90480976 |    96355749 |    96032114 |   102143395 |    43978188 |    90121684 |    96353521 |    96086807 |   102123865 |           0
  num incorrect                      |       93227 |    13685584 |    14743488 |    14564617 |    15078057 |       95087 |    13653549 |    14738717 |    14577773 |    15107108 |       95075 |    14049105 |    14744692 |    14568917 |    15126714 |           0
  misprediction rate                 |       0.21% |      13.14% |      13.27% |      13.17% |      12.86% |       0.22% |      13.11% |      13.27% |      13.18% |      12.88% |       0.22% |      13.49% |      13.27% |      13.17% |      12.90% |       0.00%
