                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  209145111 |  224902548 |  224943067 |  224930381 |  209145111 |  224902548 |  224943067 |  224930381 |  209145111 |  224902548 |  224940577 |  224932871 |  209145111 |  224902548 |  224943067 |  224930381
  Cycles                             |  838892400 |  838892400 |  838892400 |  838892400 |  838892400 |  838892400 |  838892400 |  838892400 |  838892400 |  838892400 |  838892400 |  838892400 |  838892400 |  838892400 |  838892400 |  838892400
  IPC                                |       0.25 |       0.27 |       0.27 |       0.27 |       0.25 |       0.27 |       0.27 |       0.27 |       0.25 |       0.27 |       0.27 |       0.27 |       0.25 |       0.27 |       0.27 |       0.27
  Time (ns)                          |  209723100 |  209723100 |  209723100 |  209723100 |  209723100 |  209723100 |  209723100 |  209723100 |  209723100 |  209723100 |  209723100 |  209723100 |  209723100 |  209723100 |  209723100 |  209723100
  Idle time (ns)                     |   83072492 |  126850250 |  127696422 |  127536348 |   83014115 |  126761142 |  127615357 |  127548502 |   83156515 |  127024207 |  127446350 |  127570318 |   83108922 |  126818840 |  127708122 |  127523294
  Idle time (%)                      |      39.6% |      60.5% |      60.9% |      60.8% |      39.6% |      60.4% |      60.8% |      60.8% |      39.7% |      60.6% |      60.8% |      60.8% |      39.6% |      60.5% |      60.9% |      60.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   32469676 |   13032263 |   13128149 |   13095499 |   32448304 |   13032165 |   13128248 |   13095500 |   32456460 |   13056165 |   13099882 |   13095173 |   32464389 |   13031087 |   13128247 |   13095500
  num incorrect                      |    1846561 |     620625 |     525050 |     557377 |    1867933 |     620723 |     524951 |     557376 |    1859777 |     596723 |     553011 |     558009 |    1851848 |     621801 |     524952 |     557376
  misprediction rate                 |      5.38% |      4.55% |      3.85% |      4.08% |      5.44% |      4.55% |      3.84% |      4.08% |      5.42% |      4.37% |      4.05% |      4.09% |      5.40% |      4.55% |      3.84% |      4.08%
  mpki                               |       8.83 |       2.76 |       2.33 |       2.48 |       8.93 |       2.76 |       2.33 |       2.48 |       8.89 |       2.65 |       2.46 |       2.48 |       8.85 |       2.76 |       2.33 |       2.48
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   30025115 |   31711289 |   31723317 |   31711591 |   30025115 |   31711289 |   31723317 |   31711591 |   30025115 |   31711289 |   31723098 |   31711810 |   30025115 |   31711289 |   31723317 |   31711591
    num misses                       |        135 |         26 |         26 |         26 |        310 |         26 |         26 |         26 |        135 |         26 |         26 |         26 |        134 |         26 |         26 |         26
