                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   192523184 |  1758262957 |  1756243373 |    48937094 |   192522913 |  1758208484 |  1756299973 |    48937094 |   192522964 |  1758864571 |  1755641863 |    48937094 |   192522938 |  1757298766 |  1757210086 |    48937094
  Cycles                             |  4523611200 |  4523611200 |  4523611200 |  4523611200 |  4523611200 |  4523611200 |  4523611200 |  4523611200 |  4523611200 |  4523611200 |  4523611200 |  4523611200 |  4523611200 |  4523611200 |  4523611200 |  4523611200
  IPC                                |        0.04 |        0.39 |        0.39 |        0.01 |        0.04 |        0.39 |        0.39 |        0.01 |        0.04 |        0.39 |        0.39 |        0.01 |        0.04 |        0.39 |        0.39 |        0.01
  Time (ns)                          |  1130902800 |  1130902800 |  1130902800 |  1130902800 |  1130902800 |  1130902800 |  1130902800 |  1130902800 |  1130902800 |  1130902800 |  1130902800 |  1130902800 |  1130902800 |  1130902800 |  1130902800 |  1130902800
  Idle time (ns)                     |  1086988959 |    58247497 |    57521729 |  1122832820 |  1083093380 |   156935115 |   157660443 |  1122839138 |  1086200327 |    51151919 |    50482953 |  1122810976 |  1081921821 |   149059666 |   148411198 |  1122827765
  Idle time (%)                      |       96.1% |        5.2% |        5.1% |       99.3% |       95.8% |       13.9% |       13.9% |       99.3% |       96.0% |        4.5% |        4.5% |       99.3% |       95.7% |       13.2% |       13.1% |       99.3%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    10922985 |   150826709 |   150511999 |     2960659 |    10922933 |   150709965 |   150528919 |     2960612 |    10923434 |   150858414 |   150469350 |     2960612 |    10923177 |   150777256 |   150563001 |     2960674
  num incorrect                      |      216080 |     2779316 |     2773255 |        7989 |      216124 |     2822618 |     2830096 |        8036 |      215643 |     2780653 |     2782734 |        8036 |      215870 |     2771062 |     2780258 |        7974
  misprediction rate                 |       1.94% |       1.81% |       1.81% |       0.27% |       1.94% |       1.84% |       1.85% |       0.27% |       1.94% |       1.81% |       1.82% |       0.27% |       1.94% |       1.80% |       1.81% |       0.27%
  mpki                               |        1.12 |        1.58 |        1.58 |        0.16 |        1.12 |        1.61 |        1.61 |        0.16 |        1.12 |        1.58 |        1.59 |        0.16 |        1.12 |        1.58 |        1.58 |        0.16
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    23486466 |   143279209 |   142952651 |     5562588 |    23486465 |   143226371 |   143005745 |     5562588 |    23486479 |   143331753 |   142900212 |     5562588 |    23486466 |   143149794 |   143082306 |     5562588
    num misses                       |         658 |          77 |          73 |         103 |         587 |          76 |          77 |          99 |        1313 |          74 |          65 |          98 |         608 |          78 |          73 |         105
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.01% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    51120598 |   423264671 |   422504379 |    14866913 |    51120509 |   423190759 |   422578937 |    14866913 |    51120513 |   423370455 |   422398523 |    14866913 |    51120498 |   423013385 |   422756683 |    14866913
    num misses                       |       18562 |     1971613 |     1976293 |        4621 |       18658 |     1962955 |     1998614 |        4675 |       19338 |     1978865 |     2022298 |        4624 |       19258 |     1950391 |     1962702 |        4675
    miss rate                        |       0.04% |       0.47% |       0.47% |       0.03% |       0.04% |       0.46% |       0.47% |       0.03% |       0.04% |       0.47% |       0.48% |       0.03% |       0.04% |       0.46% |       0.46% |       0.03%
    mpki                             |        0.10 |        1.12 |        1.13 |        0.09 |        0.10 |        1.12 |        1.14 |        0.10 |        0.10 |        1.13 |        1.15 |        0.09 |        0.10 |        1.11 |        1.12 |        0.10
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       19220 |     1971690 |     1976366 |        4724 |       19245 |     1963031 |     1998691 |        4774 |       20651 |     1978939 |     2022363 |        4722 |       19866 |     1950469 |     1962775 |        4780
    num misses                       |        6144 |      126863 |      129801 |        1450 |        6112 |       62192 |       62165 |        1467 |        6287 |      103597 |      101786 |        1485 |        6224 |       86298 |       92235 |        1484
    miss rate                        |      31.97% |       6.43% |       6.57% |      30.69% |      31.76% |       3.17% |       3.11% |      30.73% |      30.44% |       5.23% |       5.03% |      31.45% |      31.33% |       4.42% |       4.70% |      31.05%
    mpki                             |        0.03 |        0.07 |        0.07 |        0.03 |        0.03 |        0.04 |        0.04 |        0.03 |        0.03 |        0.06 |        0.06 |        0.03 |        0.03 |        0.05 |        0.05 |        0.03
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    23486466 |   143279209 |   142952651 |     5562588 |    23486465 |   143226371 |   143005745 |     5562588 |    23486479 |   143331753 |   142900212 |     5562588 |    23486466 |   143149794 |   143082306 |     5562588
    num cache misses                 |      201643 |     9750208 |     9749390 |       41888 |      201631 |     9752460 |     9748748 |       41888 |      201596 |     9749763 |     9744709 |       42005 |      201586 |     9751844 |     9754647 |       42005
    miss rate                        |       0.86% |       6.81% |       6.82% |       0.75% |       0.86% |       6.81% |       6.82% |       0.75% |       0.86% |       6.80% |       6.82% |       0.76% |       0.86% |       6.81% |       6.82% |       0.76%
    mpki                             |        1.05 |        5.55 |        5.55 |        0.86 |        1.05 |        5.55 |        5.55 |        0.86 |        1.05 |        5.54 |        5.55 |        0.86 |        1.05 |        5.55 |        5.55 |        0.86
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    51120598 |   423264671 |   422504379 |    14866913 |    51120509 |   423190759 |   422578937 |    14866913 |    51120513 |   423370455 |   422398523 |    14866913 |    51120498 |   423013385 |   422756683 |    14866913
    num cache misses                 |      807721 |    16744153 |    16790227 |      288242 |      808026 |    16763397 |    16785224 |      288247 |      807911 |    16736119 |    16775170 |      288410 |      808426 |    16739525 |    16786872 |      288413
    miss rate                        |       1.58% |       3.96% |       3.97% |       1.94% |       1.58% |       3.96% |       3.97% |       1.94% |       1.58% |       3.95% |       3.97% |       1.94% |       1.58% |       3.96% |       3.97% |       1.94%
    mpki                             |        4.20 |        9.52 |        9.56 |        5.89 |        4.20 |        9.53 |        9.56 |        5.89 |        4.20 |        9.52 |        9.56 |        5.89 |        4.20 |        9.53 |        9.55 |        5.89
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     1121129 |    26701393 |    26706734 |      336176 |     1121507 |    26724682 |    26712099 |      336179 |     1121285 |    26679063 |    26688936 |      336461 |     1121763 |    26695189 |    26711766 |      336462
    num cache misses                 |      823019 |    22342696 |    22359356 |      294365 |      823384 |    22367076 |    22367689 |      294368 |      823434 |    22338188 |    22344544 |      294618 |      823367 |    22351682 |    22362816 |      294619
    miss rate                        |      73.41% |      83.68% |      83.72% |      87.56% |      73.42% |      83.69% |      83.74% |      87.56% |      73.44% |      83.73% |      83.72% |      87.56% |      73.40% |      83.73% |      83.72% |      87.56%
    mpki                             |        4.27 |       12.71 |       12.73 |        6.02 |        4.28 |       12.72 |       12.74 |        6.02 |        4.28 |       12.70 |       12.73 |        6.02 |        4.28 |       12.72 |       12.73 |        6.02
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |     8772281 |     8725939 |     8934080 |     8155017 |     8882024 |     8106872 |     8578272 |     8110614 |     8950832 |     8139733 |     8551566 |     8138394 |     8773485 |     8119658 |     8861364 |     7980646
  average dram access latency (ns)   |       24.85 |       24.90 |       24.86 |       24.88 |       24.80 |       24.86 |       24.84 |       24.82 |       24.88 |       24.89 |       24.96 |       24.86 |       24.80 |       24.80 |       24.90 |       24.92
  average dram queueing delay        |        1.43 |        1.47 |        1.43 |        1.45 |        1.37 |        1.43 |        1.41 |        1.39 |        1.45 |        1.46 |        1.54 |        1.43 |        1.38 |        1.37 |        1.47 |        1.49
  average dram bandwidth utilization |       6.00% |       6.00% |       6.00% |       6.00% |       6.00% |       6.00% |       6.00% |       6.00% |       6.00% |       6.00% |       6.00% |       6.00% |       6.00% |       6.00% |       6.00% |       5.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |      431710 |    11040548 |    11371350 |      125355 |      431894 |    10992267 |    11434072 |      125358 |      431831 |    10922127 |    11453140 |      125365 |      431732 |    11066999 |    11321045 |      125358
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |         408 |     4442804 |     4151406 |          68 |         462 |     4511231 |     4098629 |          67 |         453 |     4538867 |     4072962 |          64 |         459 |     4400436 |     4209616 |          71
