                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   390087531 |   782070181 |   846691982 |   836207365 |   899706203 |   390087526 |   782037246 |   846427716 |   835873874 |   899425076 |   390087540 |   781923972 |   846727801 |   836103255 |   899747388 |           0
  Cycles                             |  2325979200 |  2325979200 |  2325979200 |  2325979200 |  2325979200 |  2325979200 |  2325979200 |  2325979200 |  2325979200 |  2325979200 |  2325979200 |  2325979200 |  2325979200 |  2325979200 |  2325979200 |  2325979200
  IPC                                |        0.17 |        0.34 |        0.36 |        0.36 |        0.39 |        0.17 |        0.34 |        0.36 |        0.36 |        0.39 |        0.17 |        0.34 |        0.36 |        0.36 |        0.39 |        0.00
  Time (ns)                          |   581494800 |   581494800 |   581494800 |   581494800 |   581494800 |   581494800 |   581494800 |   581494800 |   581494800 |   581494800 |   581494800 |   581494800 |   581494800 |   581494800 |   581494800 |   581494800
  Idle time (ns)                     |   422560574 |   214173465 |   183646170 |   190787247 |   162836532 |   422565074 |   215260550 |   185440865 |   192666400 |   165293250 |   422562839 |   214125740 |   183905185 |   190454820 |   162868890 |   581494800
  Idle time (%)                      |       72.7% |       36.8% |       31.6% |       32.8% |       28.0% |       72.7% |       37.0% |       31.9% |       33.1% |       28.4% |       72.7% |       36.8% |       31.6% |       32.8% |       28.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    43978101 |    90216857 |    97062953 |    96400461 |   103248062 |    43978072 |    90220021 |    97016906 |    96343878 |   103207600 |    43978043 |    90186890 |    97073376 |    96332322 |   103227151 |           0
  num incorrect                      |       95158 |    13666414 |    14757949 |    14585462 |    15108138 |       95184 |    13656202 |    14745241 |    14568280 |    15086077 |       95213 |    13664106 |    14755423 |    14630435 |    15138194 |           0
  misprediction rate                 |       0.22% |      13.16% |      13.20% |      13.14% |      12.76% |       0.22% |      13.15% |      13.19% |      13.13% |      12.75% |       0.22% |      13.16% |      13.19% |      13.18% |      12.79% |       0.00%
  mpki                               |        0.24 |       17.47 |       17.43 |       17.44 |       16.79 |        0.24 |       17.46 |       17.42 |       17.43 |       16.77 |        0.24 |       17.47 |       17.43 |       17.50 |       16.82 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    57964822 |   110202689 |   119651914 |   118452240 |   127419084 |    57964822 |   110195579 |   119593249 |   118378418 |   127356593 |    57964824 |   110170450 |   119659880 |   118428979 |   127428222 |           0
    num misses                       |         225 |          34 |          34 |          34 |          34 |         226 |          34 |          34 |          34 |          34 |         234 |          34 |          34 |          34 |          34 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   169706164 |   226647663 |   251965917 |   246887046 |   271539257 |   169706162 |   226632812 |   251848367 |   246738778 |   271414156 |   169706165 |   226582761 |   251981899 |   246840777 |   271557431 |           0
    num misses                       |      108074 |       78717 |       77931 |       80116 |       82804 |      108403 |       78892 |       79630 |       79114 |       79544 |      108338 |       78144 |       81989 |      118266 |       83834 |           0
    miss rate                        |       0.06% |       0.03% |       0.03% |       0.03% |       0.03% |       0.06% |       0.03% |       0.03% |       0.03% |       0.03% |       0.06% |       0.03% |       0.03% |       0.05% |       0.03% |       0.00%
    mpki                             |        0.28 |        0.10 |        0.09 |        0.10 |        0.09 |        0.28 |        0.10 |        0.09 |        0.09 |        0.09 |        0.28 |        0.10 |        0.10 |        0.14 |        0.09 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |      108299 |       78751 |       77965 |       80150 |       82838 |      108629 |       78926 |       79664 |       79148 |       79578 |      108572 |       78178 |       82023 |      118300 |       83868 |           0
    num misses                       |       45935 |       58515 |       59939 |       58406 |       59870 |       46194 |       58504 |       59966 |       58374 |       59953 |       45524 |       58559 |       60046 |       58667 |       60039 |           0
    miss rate                        |      42.41% |      74.30% |      76.88% |      72.87% |      72.27% |      42.52% |      74.13% |      75.27% |      73.75% |      75.34% |      41.93% |      74.90% |      73.21% |      49.59% |      71.59% |       0.00%
    mpki                             |        0.12 |        0.07 |        0.07 |        0.07 |        0.07 |        0.12 |        0.07 |        0.07 |        0.07 |        0.07 |        0.12 |        0.07 |        0.07 |        0.07 |        0.07 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    57964822 |   110202689 |   119651914 |   118452240 |   127419084 |    57964822 |   110195579 |   119593249 |   118378418 |   127356593 |    57964824 |   110170450 |   119659880 |   118428979 |   127428222 |           0
    num cache misses                 |     4391640 |       44702 |       52565 |       50318 |       58623 |     4391201 |       44622 |       52279 |       49602 |       57853 |     4391290 |       44578 |       52261 |       49623 |       57833 |           0
    miss rate                        |       7.58% |       0.04% |       0.04% |       0.04% |       0.05% |       7.58% |       0.04% |       0.04% |       0.04% |       0.05% |       7.58% |       0.04% |       0.04% |       0.04% |       0.05% |        inf%
    mpki                             |       11.26 |        0.06 |        0.06 |        0.06 |        0.07 |       11.26 |        0.06 |        0.06 |        0.06 |        0.06 |       11.26 |        0.06 |        0.06 |        0.06 |        0.06 |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   169706164 |   226647663 |   251965917 |   246887046 |   271539257 |   169706162 |   226632812 |   251848367 |   246738778 |   271414156 |   169706165 |   226582761 |   251981899 |   246840777 |   271557431 |           0
    num cache misses                 |      643537 |     1585627 |     1742234 |     1669456 |     1838977 |      643804 |     1587516 |     1740801 |     1670696 |     1837449 |      645687 |     1585390 |     1740280 |     1668707 |     1836861 |           0
    miss rate                        |       0.38% |       0.70% |       0.69% |       0.68% |       0.68% |       0.38% |       0.70% |       0.69% |       0.68% |       0.68% |       0.38% |       0.70% |       0.69% |       0.68% |       0.68% |        inf%
    mpki                             |        1.65 |        2.03 |        2.06 |        2.00 |        2.04 |        1.65 |        2.03 |        2.06 |        2.00 |        2.04 |        1.66 |        2.03 |        2.06 |        2.00 |        2.04 |         inf
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     5177909 |     1867854 |     2054373 |     1964288 |     2165840 |     5177734 |     1871585 |     2053294 |     1966681 |     2163591 |     5179489 |     1867471 |     2052166 |     1962758 |     2162311 |           0
    num cache misses                 |      527702 |     1104097 |     1197925 |     1153771 |     1254025 |      528070 |     1105986 |     1196509 |     1154085 |     1250691 |      527319 |     1103826 |     1195914 |     1152134 |     1250085 |           0
    miss rate                        |      10.19% |      59.11% |      58.31% |      58.74% |      57.90% |      10.20% |      59.09% |      58.27% |      58.68% |      57.81% |      10.18% |      59.11% |      58.28% |      58.70% |      57.81% |        inf%
