                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   209145040 |   224902548 |   224940577 |   224932871 |   209145022 |   224903248 |   224940578 |   224932172 |   209145022 |   224903248 |   224940577 |   224932172 |   209145040 |   224902548 |   224940577 |   224932871
  Cycles                             |  1797385600 |  1797385600 |  1797385600 |  1797385600 |  1797385600 |  1797385600 |  1797385600 |  1797385600 |  1797385600 |  1797385600 |  1797385600 |  1797385600 |  1797385600 |  1797385600 |  1797385600 |  1797385600
  IPC                                |        0.12 |        0.13 |        0.13 |        0.13 |        0.12 |        0.13 |        0.13 |        0.13 |        0.12 |        0.13 |        0.13 |        0.13 |        0.12 |        0.13 |        0.13 |        0.13
  Time (ns)                          |   449346400 |   449346400 |   449346400 |   449346400 |   449346400 |   449346400 |   449346400 |   449346400 |   449346400 |   449346400 |   449346400 |   449346400 |   449346400 |   449346400 |   449346400 |   449346400
  Idle time (ns)                     |   327697486 |   304411288 |   328902311 |   367018138 |   162212628 |   287168591 |   294832657 |   318591029 |   162826740 |   287175159 |   294801371 |   318632001 |   327702227 |   304410397 |   328895301 |   367014332
  Idle time (%)                      |       72.9% |       67.7% |       73.2% |       81.7% |       36.1% |       63.9% |       65.6% |       70.9% |       36.2% |       63.9% |       65.6% |       70.9% |       72.9% |       67.7% |       73.2% |       81.7%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    32415277 |    13032263 |    13127585 |    13095772 |    32461622 |    13032338 |    13127977 |    13095700 |    32457880 |    13032338 |    13127977 |    13095700 |    32415277 |    13032263 |    13127585 |    13095772
  num incorrect                      |     1900952 |      620625 |      525308 |      557410 |     1854601 |      620632 |      524916 |      557400 |     1858343 |      620632 |      524916 |      557400 |     1900952 |      620625 |      525308 |      557410
  misprediction rate                 |       5.54% |       4.55% |       3.85% |       4.08% |       5.40% |       4.55% |       3.84% |       4.08% |       5.42% |       4.55% |       3.84% |       4.08% |       5.54% |       4.55% |       3.85% |       4.08%
