                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   390087502 |   782827938 |   844361435 |   840386268 |   895059117 |   390087502 |   782905954 |   844454758 |   834328030 |   894712580 |   390087502 |   788582199 |   850918937 |   829490264 |   905288253 |           0
  Cycles                             |  4342538400 |  4342538400 |  4342538400 |  4342538400 |  4342538400 |  4342538400 |  4342538400 |  4342538400 |  4342538400 |  4342538400 |  4342538400 |  4342538400 |  4342538400 |  4342538400 |  4342538400 |  4342538400
  IPC                                |        0.09 |        0.18 |        0.19 |        0.19 |        0.21 |        0.09 |        0.18 |        0.19 |        0.19 |        0.21 |        0.09 |        0.18 |        0.20 |        0.19 |        0.21 |        0.00
  Time (ns)                          |  1085634600 |  1085634600 |  1085634600 |  1085634600 |  1085634600 |  1085634600 |  1085634600 |  1085634600 |  1085634600 |  1085634600 |  1085634600 |  1085634600 |  1085634600 |  1085634600 |  1085634600 |  1085634600
  Idle time (ns)                     |   963752884 |   249548357 |   186658443 |   676817769 |   142742533 |   942193833 |   243573233 |   217036849 |   234471531 |   143540634 |   952359374 |   689079838 |   671676820 |   198480873 |   630356539 |  1085634600
  Idle time (%)                      |       88.8% |       23.0% |       17.2% |       62.3% |       13.1% |       86.8% |       22.4% |       20.0% |       21.6% |       13.2% |       87.7% |       63.5% |       61.9% |       18.3% |       58.1% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    43978068 |    90408604 |    96553220 |    97310111 |   102175679 |    43978135 |    90084606 |    96605229 |    96001769 |   102151345 |    43978200 |    91371331 |    98151857 |    94908106 |   104512137 |           0
  num incorrect                      |       95181 |    13642416 |    14749129 |    14604111 |    15147563 |       95114 |    13984397 |    14718783 |    14567299 |    15095288 |       95049 |    13958767 |    14607908 |    14585874 |    15083859 |           0
  misprediction rate                 |       0.22% |      13.11% |      13.25% |      13.05% |      12.91% |       0.22% |      13.44% |      13.22% |      13.17% |      12.87% |       0.22% |      13.25% |      12.95% |      13.32% |      12.61% |       0.00%
  mpki                               |        0.24 |       17.43 |       17.47 |       17.38 |       16.92 |        0.24 |       17.86 |       17.43 |       17.46 |       16.87 |        0.24 |       17.70 |       17.17 |       17.58 |       16.66 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    57964819 |   110370407 |   119133419 |   119380410 |   126386107 |    57964819 |   110388306 |   119155102 |   118035383 |   126309596 |    57964819 |   111649428 |   120590834 |   116960244 |   128658874 |           0
    num misses                       |         227 |          34 |          34 |          34 |          34 |         228 |          34 |          34 |          34 |          31 |         223 |          34 |          34 |          31 |          34 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   169706154 |   226985262 |   250930698 |   248744426 |   269474009 |   169706154 |   227019132 |   250971517 |   246051601 |   269320102 |   169706150 |   229541629 |   253844355 |   243901308 |   274020273 |           0
    num misses                       |      112869 |       81681 |       83002 |       83822 |       86530 |      104646 |       77566 |       83874 |       81499 |       87981 |      157388 |       77836 |       80533 |       77927 |      112809 |           0
    miss rate                        |       0.07% |       0.04% |       0.03% |       0.03% |       0.03% |       0.06% |       0.03% |       0.03% |       0.03% |       0.03% |       0.09% |       0.03% |       0.03% |       0.03% |       0.04% |       0.00%
    mpki                             |        0.29 |        0.10 |        0.10 |        0.10 |        0.10 |        0.27 |        0.10 |        0.10 |        0.10 |        0.10 |        0.40 |        0.10 |        0.09 |        0.09 |        0.12 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
