                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  326958962 |  180516253 |  196490438 |  189563443 |  326858531 |  180684525 |  196855023 |  189591288 |  326928149 |  180826724 |  196409520 |  189553213 |  326349107 |  180622443 |  196487446 |  189115620
  Cycles                             |  343888800 |  343888800 |  343888800 |  343888800 |  343888800 |  343888800 |  343888800 |  343888800 |  343888800 |  343888800 |  343888800 |  343888800 |  343888800 |  343888800 |  343888800 |  343888800
  IPC                                |       0.95 |       0.52 |       0.57 |       0.55 |       0.95 |       0.53 |       0.57 |       0.55 |       0.95 |       0.53 |       0.57 |       0.55 |       0.95 |       0.53 |       0.57 |       0.55
  Time (ns)                          |   85972200 |   85972200 |   85972200 |   85972200 |   85972200 |   85972200 |   85972200 |   85972200 |   85972200 |   85972200 |   85972200 |   85972200 |   85972200 |   85972200 |   85972200 |   85972200
  Idle time (ns)                     |    1858448 |   41969185 |   43389007 |   42018608 |    1762868 |   41878938 |   43296928 |   41922250 |    1860950 |   41894894 |   43346587 |   41939806 |    2281154 |   41915296 |   43539037 |   41956237
  Idle time (%)                      |       2.2% |      48.8% |      50.5% |      48.9% |       2.1% |      48.7% |      50.4% |      48.8% |       2.2% |      48.7% |      50.4% |      48.8% |       2.7% |      48.8% |      50.6% |      48.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   30922184 |    7369528 |   13929776 |   11843054 |   30892395 |    7425156 |   14051939 |   11850598 |   30921562 |    7472146 |   13903393 |   11839725 |   30723208 |    7405345 |   13929176 |   11692750
  num incorrect                      |    2002729 |     207460 |     172329 |     187995 |    1999068 |     208128 |     171829 |     189579 |    1993078 |     208522 |     171893 |     187938 |    1998408 |     207284 |     172110 |     188905
  misprediction rate                 |      6.08% |      2.74% |      1.22% |      1.56% |      6.08% |      2.73% |      1.21% |      1.57% |      6.06% |      2.71% |      1.22% |      1.56% |      6.11% |      2.72% |      1.22% |      1.59%
  mpki                               |       6.13 |       1.15 |       0.88 |       0.99 |       6.12 |       1.15 |       0.87 |       1.00 |       6.10 |       1.15 |       0.88 |       0.99 |       6.12 |       1.15 |       0.88 |       1.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   29696589 |   15362406 |   15820746 |   14930237 |   29696600 |   15362293 |   15820692 |   14930308 |   29696617 |   15362322 |   15820683 |   14930224 |   29696631 |   15362296 |   15820633 |   14930247
    num misses                       |        162 |         51 |         50 |         49 |        164 |         50 |         50 |         50 |        160 |         50 |         50 |         51 |        159 |         51 |         50 |         50
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
