                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  111346289 |   28781262 |   28782888 |   28780846 |  111346113 |   28782139 |   28781847 |   28782734 |  111346297 |   28781156 |   28782156 |   28781614 |  111346344 |   28781589 |   28780324 |   28782391
  Cycles                             |   56623600 |   56623600 |   56623600 |   56623600 |   56623600 |   56623600 |   56623600 |   56623600 |   56623600 |   56623600 |   56623600 |   56623600 |   56623600 |   56623600 |   56623600 |   56623600
  IPC                                |       1.97 |       0.51 |       0.51 |       0.51 |       1.97 |       0.51 |       0.51 |       0.51 |       1.97 |       0.51 |       0.51 |       0.51 |       1.97 |       0.51 |       0.51 |       0.51
  Time (ns)                          |   14155900 |   14155900 |   14155900 |   14155900 |   14155900 |   14155900 |   14155900 |   14155900 |   14155900 |   14155900 |   14155900 |   14155900 |   14155900 |   14155900 |   14155900 |   14155900
  Idle time (ns)                     |    1136108 |    8425294 |    8425431 |    8437300 |    1123736 |    8422757 |    8421841 |    8423392 |    1130238 |    8425441 |    8432719 |    8429008 |    1138382 |    8427398 |    8418726 |    8427090
  Idle time (%)                      |       8.0% |      59.5% |      59.5% |      59.6% |       7.9% |      59.5% |      59.5% |      59.5% |       8.0% |      59.5% |      59.6% |      59.5% |       8.0% |      59.5% |      59.5% |      59.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    6978982 |    2528397 |    2528554 |    2528335 |    6978901 |    2528503 |    2528431 |    2528571 |    6978939 |    2528380 |    2528474 |    2528432 |    6978865 |    2528440 |    2528270 |    2528504
  num incorrect                      |      54254 |      38106 |      38131 |      38096 |      54311 |      38110 |      38122 |      38114 |      54308 |      38100 |      38121 |      38105 |      54389 |      38115 |      38093 |      38117
  misprediction rate                 |      0.77% |      1.48% |      1.49% |      1.48% |      0.77% |      1.48% |      1.49% |      1.48% |      0.77% |      1.48% |      1.49% |      1.48% |      0.77% |      1.49% |      1.48% |      1.49%
  mpki                               |       0.49 |       1.32 |       1.32 |       1.32 |       0.49 |       1.32 |       1.32 |       1.32 |       0.49 |       1.32 |       1.32 |       1.32 |       0.49 |       1.32 |       1.32 |       1.32
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   13562529 |    2431488 |    2724246 |    2528953 |   13562491 |    2431558 |    2724125 |    2529166 |   13562535 |    2431468 |    2724166 |    2529042 |   13562538 |    2431526 |    2724003 |    2529097
    num misses                       |        131 |         37 |         37 |         38 |        131 |         37 |         37 |         35 |        131 |         37 |         37 |         36 |        132 |         37 |         36 |         37
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   34790430 |    5155865 |    5156513 |    5155591 |   34790372 |    5156206 |    5156111 |    5156362 |   34790469 |    5155830 |    5156203 |    5155926 |   34790469 |    5155943 |    5155489 |    5156244
