                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  120732871 |  118855536 |  106130152 |  108562879 |  120733387 |  118854832 |  106129823 |  108562371 |  120733497 |  118855695 |  106130424 |  108562491 |  120733257 |  118855522 |  106130510 |  108563566
  Cycles                             |  132978800 |  132978800 |  132978800 |  132978800 |  132978800 |  132978800 |  132978800 |  132978800 |  132978800 |  132978800 |  132978800 |  132978800 |  132978800 |  132978800 |  132978800 |  132978800
  IPC                                |       0.91 |       0.89 |       0.80 |       0.82 |       0.91 |       0.89 |       0.80 |       0.82 |       0.91 |       0.89 |       0.80 |       0.82 |       0.91 |       0.89 |       0.80 |       0.82
  Time (ns)                          |   33244700 |   33244700 |   33244700 |   33244700 |   33244700 |   33244700 |   33244700 |   33244700 |   33244700 |   33244700 |   33244700 |   33244700 |   33244700 |   33244700 |   33244700 |   33244700
  Idle time (ns)                     |    4081219 |    5048652 |    8227131 |    7383748 |    3968930 |    5209917 |    8268783 |    7637622 |    3951058 |    5089749 |    8568994 |    7435491 |    3953339 |    5072702 |    8549338 |    7399427
  Idle time (%)                      |      12.3% |      15.2% |      24.7% |      22.2% |      11.9% |      15.7% |      24.9% |      23.0% |      11.9% |      15.3% |      25.8% |      22.4% |      11.9% |      15.3% |      25.7% |      22.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10851272 |    8426773 |    8456684 |    8469397 |   10844955 |    8419610 |    8455734 |    8467525 |   10841887 |    8425580 |    8459847 |    8468098 |   10845292 |    8427363 |    8460330 |    8467362
  num incorrect                      |     512038 |     581401 |     428273 |     456283 |     518455 |     588496 |     429163 |     458068 |     521550 |     582626 |     425108 |     457515 |     518102 |     580811 |     424628 |     458404
  misprediction rate                 |      4.51% |      6.45% |      4.82% |      5.11% |      4.56% |      6.53% |      4.83% |      5.13% |      4.59% |      6.47% |      4.78% |      5.13% |      4.56% |      6.45% |      4.78% |      5.14%
  mpki                               |       4.24 |       4.89 |       4.04 |       4.20 |       4.29 |       4.95 |       4.04 |       4.22 |       4.32 |       4.90 |       4.01 |       4.21 |       4.29 |       4.89 |       4.00 |       4.22
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15068584 |   13111460 |   13238171 |   13197645 |   15068697 |   13111421 |   13238089 |   13197559 |   15068722 |   13111493 |   13238135 |   13197545 |   15068669 |   13111454 |   13238145 |   13197700
    num misses                       |        164 |         44 |         44 |         44 |        161 |         44 |         44 |         44 |        165 |         44 |         44 |         44 |        166 |         44 |         44 |         44
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   47132026 |   44700467 |   41846063 |   42399941 |   47132224 |   44700188 |   41845957 |   42399759 |   47137722 |   44700524 |   41846232 |   42399795 |   47127097 |   44700471 |   41846250 |   42400243
    num misses                       |      88046 |      78296 |      78266 |      78437 |      88877 |      78558 |      78323 |      78277 |      86664 |      80241 |      77804 |      78921 |      87393 |      78423 |      80470 |      78138
    miss rate                        |      0.19% |      0.18% |      0.19% |      0.18% |      0.19% |      0.18% |      0.19% |      0.18% |      0.18% |      0.18% |      0.19% |      0.19% |      0.19% |      0.18% |      0.19% |      0.18%
    mpki                             |       0.73 |       0.66 |       0.74 |       0.72 |       0.74 |       0.66 |       0.74 |       0.72 |       0.72 |       0.68 |       0.73 |       0.73 |       0.72 |       0.66 |       0.76 |       0.72
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      88210 |      78340 |      78310 |      78481 |      89038 |      78602 |      78367 |      78321 |      86829 |      80285 |      77848 |      78965 |      87559 |      78467 |      80514 |      78182
    num misses                       |      36737 |      27949 |      28168 |      28025 |      36936 |      27500 |      28341 |      28103 |      36599 |      27723 |      28288 |      28226 |      36641 |      28048 |      28444 |      28156
    miss rate                        |     41.65% |     35.68% |     35.97% |     35.71% |     41.48% |     34.99% |     36.16% |     35.88% |     42.15% |     34.53% |     36.34% |     35.74% |     41.85% |     35.74% |     35.33% |     36.01%
    mpki                             |       0.30 |       0.24 |       0.27 |       0.26 |       0.31 |       0.23 |       0.27 |       0.26 |       0.30 |       0.23 |       0.27 |       0.26 |       0.30 |       0.24 |       0.27 |       0.26
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15068584 |   13111460 |   13238171 |   13197645 |   15068697 |   13111421 |   13238089 |   13197559 |   15068722 |   13111493 |   13238135 |   13197545 |   15068669 |   13111454 |   13238145 |   13197700
    num cache misses                 |    1488531 |     684896 |     686385 |     686409 |    1488458 |     684847 |     686354 |     686450 |    1488510 |     684877 |     686395 |     686366 |    1488502 |     684832 |     686411 |     686435
    miss rate                        |      9.88% |      5.22% |      5.18% |      5.20% |      9.88% |      5.22% |      5.18% |      5.20% |      9.88% |      5.22% |      5.18% |      5.20% |      9.88% |      5.22% |      5.19% |      5.20%
    mpki                             |      12.33 |       5.76 |       6.47 |       6.32 |      12.33 |       5.76 |       6.47 |       6.32 |      12.33 |       5.76 |       6.47 |       6.32 |      12.33 |       5.76 |       6.47 |       6.32
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   47132026 |   44700467 |   41846063 |   42399941 |   47132224 |   44700188 |   41845957 |   42399759 |   47137722 |   44700524 |   41846232 |   42399795 |   47127097 |   44700471 |   41846250 |   42400243
    num cache misses                 |     554536 |     498101 |     500432 |     501151 |     554433 |     498110 |     500398 |     501108 |     544034 |     498158 |     500394 |     501112 |     543531 |     498074 |     500404 |     501148
    miss rate                        |      1.18% |      1.11% |      1.20% |      1.18% |      1.18% |      1.11% |      1.20% |      1.18% |      1.15% |      1.11% |      1.20% |      1.18% |      1.15% |      1.11% |      1.20% |      1.18%
    mpki                             |       4.59 |       4.19 |       4.72 |       4.62 |       4.59 |       4.19 |       4.71 |       4.62 |       4.51 |       4.19 |       4.71 |       4.62 |       4.50 |       4.19 |       4.71 |       4.62
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2087718 |    1224639 |    1229206 |    1229485 |    2087239 |    1224605 |    1229194 |    1229528 |    2076923 |    1224652 |    1229220 |    1229389 |    2076263 |    1224513 |    1229255 |    1229498
