                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  105644599 |   96490495 |   96510320 |   96502228 |  105643722 |   96490983 |   96510174 |   96503131 |  105643787 |   96490920 |   96510361 |   96502679 |  105643606 |   96491355 |   96509009 |   96503357
  Cycles                             |  112511600 |  112511600 |  112511600 |  112511600 |  112511600 |  112511600 |  112511600 |  112511600 |  112511600 |  112511600 |  112511600 |  112511600 |  112511600 |  112511600 |  112511600 |  112511600
  IPC                                |       0.94 |       0.86 |       0.86 |       0.86 |       0.94 |       0.86 |       0.86 |       0.86 |       0.94 |       0.86 |       0.86 |       0.86 |       0.94 |       0.86 |       0.86 |       0.86
  Time (ns)                          |   28127900 |   28127900 |   28127900 |   28127900 |   28127900 |   28127900 |   28127900 |   28127900 |   28127900 |   28127900 |   28127900 |   28127900 |   28127900 |   28127900 |   28127900 |   28127900
  Idle time (ns)                     |    1119746 |    5291814 |    5151464 |    4684231 |    1007414 |    5264036 |    5261814 |    4790854 |     985604 |    5177924 |    5338000 |    4702938 |     932216 |    5182632 |    5182763 |    4723712
  Idle time (%)                      |       4.0% |      18.8% |      18.3% |      16.7% |       3.6% |      18.7% |      18.7% |      17.0% |       3.5% |      18.4% |      19.0% |      16.7% |       3.3% |      18.4% |      18.4% |      16.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    9573608 |    8150495 |    8151428 |    8149549 |    9574051 |    8151645 |    8150684 |    8149552 |    9575772 |    8151970 |    8152009 |    8150167 |    9573672 |    8150618 |    8151254 |    8149832
  num incorrect                      |     165473 |      91340 |      90346 |      91622 |     164858 |      90274 |      91067 |      91755 |     163165 |      89943 |      89784 |      91069 |     165213 |      91370 |      90331 |      91512
  misprediction rate                 |      1.70% |      1.11% |      1.10% |      1.11% |      1.69% |      1.10% |      1.10% |      1.11% |      1.68% |      1.09% |      1.09% |      1.11% |      1.70% |      1.11% |      1.10% |      1.11%
