                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  330599485 |  181060954 |  196106151 |  187718426 |  330735421 |  181380321 |  196322110 |  188229934 |  330406018 |  181385952 |  195977901 |  187604479 |  330550888 |  181380298 |  195593053 |  188093493
  Cycles                             |  400045200 |  400045200 |  400045200 |  400045200 |  400045200 |  400045200 |  400045200 |  400045200 |  400045200 |  400045200 |  400045200 |  400045200 |  400045200 |  400045200 |  400045200 |  400045200
  IPC                                |       0.83 |       0.45 |       0.49 |       0.47 |       0.83 |       0.45 |       0.49 |       0.47 |       0.83 |       0.45 |       0.49 |       0.47 |       0.83 |       0.45 |       0.49 |       0.47
  Time (ns)                          |  100011300 |  100011300 |  100011300 |  100011300 |  100011300 |  100011300 |  100011300 |  100011300 |  100011300 |  100011300 |  100011300 |  100011300 |  100011300 |  100011300 |  100011300 |  100011300
  Idle time (ns)                     |    1497464 |   42111315 |   43355976 |   42159298 |    1753808 |   41883597 |   43329552 |   41932278 |    1736278 |   41929565 |   43350878 |   41975855 |    1761609 |   41892110 |   43341761 |   41930123
  Idle time (%)                      |       1.5% |      42.1% |      43.4% |      42.2% |       1.8% |      41.9% |      43.3% |      41.9% |       1.7% |      41.9% |      43.3% |      42.0% |       1.8% |      41.9% |      43.3% |      41.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   32144885 |    7550869 |   13801670 |   11226402 |   32183401 |    7657172 |   13873415 |   11397631 |   32071844 |    7660632 |   13759859 |   11189860 |   32122807 |    7658769 |   13631203 |   11353160
  num incorrect                      |    1993520 |     207868 |     172460 |     189673 |    2000301 |     208055 |     172547 |     188791 |    2002077 |     206316 |     171361 |     188265 |    1999382 |     206430 |     172231 |     187834
  misprediction rate                 |      5.84% |      2.68% |      1.23% |      1.66% |      5.85% |      2.65% |      1.23% |      1.63% |      5.88% |      2.62% |      1.23% |      1.65% |      5.86% |      2.62% |      1.25% |      1.63%
  mpki                               |       6.03 |       1.15 |       0.88 |       1.01 |       6.05 |       1.15 |       0.88 |       1.00 |       6.06 |       1.14 |       0.87 |       1.00 |       6.05 |       1.14 |       0.88 |       1.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   29696636 |   15362341 |   15820682 |   14930181 |   29696592 |   15362327 |   15820717 |   14930279 |   29696598 |   15362358 |   15820765 |   14930216 |   29696646 |   15362320 |   15820565 |   14930222
    num misses                       |        158 |         51 |         50 |         51 |        160 |         50 |         50 |         49 |        167 |         50 |         50 |         49 |        170 |         50 |         50 |         50
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |  123321248 |   62586962 |   62192442 |   62410440 |  123357121 |   62693437 |   62264467 |   62581029 |  123256926 |   62695362 |   62149742 |   62372509 |  123295528 |   62693431 |   62021286 |   62535542
    num misses                       |      51416 |      20264 |      18425 |      18755 |      45422 |      20329 |      16590 |      22751 |      45665 |      19219 |      16589 |      22489 |      45380 |      21598 |      19952 |      22959
    miss rate                        |      0.04% |      0.03% |      0.03% |      0.03% |      0.04% |      0.03% |      0.03% |      0.04% |      0.04% |      0.03% |      0.03% |      0.04% |      0.04% |      0.03% |      0.03% |      0.04%
    mpki                             |       0.16 |       0.11 |       0.09 |       0.10 |       0.14 |       0.11 |       0.08 |       0.12 |       0.14 |       0.11 |       0.08 |       0.12 |       0.14 |       0.12 |       0.10 |       0.12
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      51574 |      20315 |      18475 |      18806 |      45582 |      20379 |      16640 |      22800 |      45832 |      19269 |      16639 |      22538 |      45550 |      21648 |      20002 |      23009
    num misses                       |      18393 |       5778 |       4747 |       6418 |      18251 |       5847 |       4844 |       6628 |      18308 |       5741 |       4815 |       6638 |      18294 |       5859 |       4792 |       6595
    miss rate                        |     35.66% |     28.44% |     25.69% |     34.13% |     40.04% |     28.69% |     29.11% |     29.07% |     39.95% |     29.79% |     28.94% |     29.45% |     40.16% |     27.06% |     23.96% |     28.66%
    mpki                             |       0.06 |       0.03 |       0.02 |       0.03 |       0.06 |       0.03 |       0.02 |       0.04 |       0.06 |       0.03 |       0.02 |       0.04 |       0.06 |       0.03 |       0.02 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   29696636 |   15362341 |   15820682 |   14930181 |   29696592 |   15362327 |   15820717 |   14930279 |   29696598 |   15362358 |   15820765 |   14930216 |   29696646 |   15362320 |   15820565 |   14930222
    num cache misses                 |     217708 |     189253 |     174601 |     182759 |     217378 |     189378 |     174618 |     182680 |     217631 |     189419 |     174626 |     182975 |     217330 |     189234 |     174585 |     182764
    miss rate                        |      0.73% |      1.23% |      1.10% |      1.22% |      0.73% |      1.23% |      1.10% |      1.22% |      0.73% |      1.23% |      1.10% |      1.23% |      0.73% |      1.23% |      1.10% |      1.22%
    mpki                             |       0.66 |       1.05 |       0.89 |       0.97 |       0.66 |       1.04 |       0.89 |       0.97 |       0.66 |       1.04 |       0.89 |       0.98 |       0.66 |       1.04 |       0.89 |       0.97
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |  123321248 |   62586962 |   62192442 |   62410440 |  123357121 |   62693437 |   62264467 |   62581029 |  123256926 |   62695362 |   62149742 |   62372509 |  123295528 |   62693431 |   62021286 |   62535542
    num cache misses                 |    2233745 |    1189434 |    1072045 |    1161628 |    2226225 |    1188844 |    1071389 |    1161937 |    2237434 |    1189492 |    1071646 |    1162405 |    2236496 |    1188917 |    1072153 |    1161786
    miss rate                        |      1.81% |      1.90% |      1.72% |      1.86% |      1.80% |      1.90% |      1.72% |      1.86% |      1.82% |      1.90% |      1.72% |      1.86% |      1.81% |      1.90% |      1.73% |      1.86%
    mpki                             |       6.76 |       6.57 |       5.47 |       6.19 |       6.73 |       6.55 |       5.46 |       6.17 |       6.77 |       6.56 |       5.47 |       6.20 |       6.77 |       6.55 |       5.48 |       6.18
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2978958 |    1818804 |    1627157 |    1745744 |    2971701 |    1818648 |    1624715 |    1746774 |    2982155 |    1819592 |    1625367 |    1747720 |    2980298 |    1818152 |    1627348 |    1745728
    num cache misses                 |    1864553 |     818292 |     675058 |     782666 |    1864217 |     817055 |     669808 |     783939 |    1865223 |     817942 |     672004 |     784250 |    1863045 |     817744 |     675400 |     782992
    miss rate                        |     62.59% |     44.99% |     41.49% |     44.83% |     62.73% |     44.93% |     41.23% |     44.88% |     62.55% |     44.95% |     41.34% |     44.87% |     62.51% |     44.98% |     41.50% |     44.85%
    mpki                             |       5.64 |       4.52 |       3.44 |       4.17 |       5.64 |       4.50 |       3.41 |       4.16 |       5.65 |       4.51 |       3.43 |       4.18 |       5.64 |       4.51 |       3.45 |       4.16
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    1732934 |    1720977 |    1674338 |    1664319 |    1662247 |    1664174 |    1684046 |    1658093 |    1644541 |    1643831 |    1626671 |    1615636 |    1603327 |    1637277 |    1666827 |    1702336
  average dram access latency (ns)   |      26.26 |      26.06 |      26.05 |      26.03 |      26.03 |      25.99 |      25.98 |      25.98 |      25.94 |      25.93 |      25.90 |      25.94 |      25.94 |      25.94 |      26.01 |      26.19
  average dram queueing delay        |       2.83 |       2.63 |       2.63 |       2.60 |       2.60 |       2.56 |       2.55 |       2.55 |       2.51 |       2.50 |       2.47 |       2.51 |       2.51 |       2.51 |       2.58 |       2.76
  average dram bandwidth utilization |     14.00% |     14.00% |     14.00% |     14.00% |     14.00% |     14.00% |     14.00% |     13.00% |     13.00% |     13.00% |     13.00% |     13.00% |     13.00% |     13.00% |     14.00% |     14.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |    1094516 |     645134 |     580620 |     598318 |    1092901 |     646235 |     576696 |     600406 |    1094014 |     646065 |     578671 |     600587 |    1093161 |     644694 |     581160 |     598429
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      37426 |      12833 |      24786 |      40189 |      39017 |      11715 |      24828 |      39289 |      38218 |      12764 |      25023 |      39352 |      37714 |      12810 |      24294 |      40168
