                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  111346363 |   28783003 |   28781179 |   28780768 |  111346281 |   28781260 |   28782765 |   28780055 |  111346188 |   28781078 |   28783085 |   28780895 |  111346218 |   28782991 |   28781045 |   28781876
  Cycles                             |   56667200 |   56667200 |   56667200 |   56667200 |   56667200 |   56667200 |   56667200 |   56667200 |   56667200 |   56667200 |   56667200 |   56667200 |   56667200 |   56667200 |   56667200 |   56667200
  IPC                                |       1.96 |       0.51 |       0.51 |       0.51 |       1.96 |       0.51 |       0.51 |       0.51 |       1.96 |       0.51 |       0.51 |       0.51 |       1.96 |       0.51 |       0.51 |       0.51
  Time (ns)                          |   14166800 |   14166800 |   14166800 |   14166800 |   14166800 |   14166800 |   14166800 |   14166800 |   14166800 |   14166800 |   14166800 |   14166800 |   14166800 |   14166800 |   14166800 |   14166800
  Idle time (ns)                     |    1135437 |    8424612 |    8431904 |    8434340 |    1130857 |    8426562 |    8428331 |    8435045 |    1129691 |    8429499 |    8420707 |    8436724 |    1137218 |    8433581 |    8422354 |    8433312
  Idle time (%)                      |       8.0% |      59.5% |      59.5% |      59.5% |       8.0% |      59.5% |      59.5% |      59.5% |       8.0% |      59.5% |      59.4% |      59.6% |       8.0% |      59.5% |      59.5% |      59.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    6978967 |    2528599 |    2528381 |    2528334 |    6978941 |    2528409 |    2528536 |    2528283 |    6978791 |    2528375 |    2528596 |    2528361 |    6978899 |    2528594 |    2528350 |    2528480
  num incorrect                      |      54287 |      38116 |      38102 |      38088 |      54295 |      38095 |      38125 |      38061 |      54422 |      38101 |      38129 |      38089 |      54317 |      38120 |      38102 |      38104
  misprediction rate                 |      0.77% |      1.49% |      1.48% |      1.48% |      0.77% |      1.48% |      1.49% |      1.48% |      0.77% |      1.48% |      1.49% |      1.48% |      0.77% |      1.49% |      1.48% |      1.48%
  mpki                               |       0.49 |       1.32 |       1.32 |       1.32 |       0.49 |       1.32 |       1.32 |       1.32 |       0.49 |       1.32 |       1.32 |       1.32 |       0.49 |       1.32 |       1.32 |       1.32
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   13562544 |    2431635 |    2724101 |    2528942 |   13562529 |    2431485 |    2724208 |    2528910 |   13562501 |    2431453 |    2724279 |    2528985 |   13562510 |    2431633 |    2724068 |    2529087
    num misses                       |        131 |         37 |         37 |         37 |        132 |         37 |         37 |         30 |        129 |         37 |         36 |         36 |        131 |         37 |         37 |         35
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   34790488 |    5156548 |    5155857 |    5155566 |   34790430 |    5155867 |    5156480 |    5155292 |   34790417 |    5155804 |    5156592 |    5155630 |   34790401 |    5156542 |    5155805 |    5156026
    num misses                       |     187901 |     185685 |     185730 |     185705 |     187908 |     185682 |     185735 |     185686 |     187930 |     185680 |     185735 |     185706 |     187917 |     185687 |     185730 |     185713
    miss rate                        |      0.54% |      3.60% |      3.60% |      3.60% |      0.54% |      3.60% |      3.60% |      3.60% |      0.54% |      3.60% |      3.60% |      3.60% |      0.54% |      3.60% |      3.60% |      3.60%
    mpki                             |       1.69 |       6.45 |       6.45 |       6.45 |       1.69 |       6.45 |       6.45 |       6.45 |       1.69 |       6.45 |       6.45 |       6.45 |       1.69 |       6.45 |       6.45 |       6.45
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     188032 |     185722 |     185767 |     185742 |     188040 |     185719 |     185772 |     185716 |     188059 |     185717 |     185771 |     185742 |     188048 |     185724 |     185767 |     185748
    num misses                       |       6244 |       3967 |       4095 |       4073 |       6245 |       3964 |       4099 |       4046 |       6245 |       3964 |       4100 |       4073 |       6245 |       3968 |       4094 |       4074
    miss rate                        |      3.32% |      2.14% |      2.20% |      2.19% |      3.32% |      2.13% |      2.21% |      2.18% |      3.32% |      2.13% |      2.21% |      2.19% |      3.32% |      2.14% |      2.20% |      2.19%
    mpki                             |       0.06 |       0.14 |       0.14 |       0.14 |       0.06 |       0.14 |       0.14 |       0.14 |       0.06 |       0.14 |       0.14 |       0.14 |       0.06 |       0.14 |       0.14 |       0.14
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   13562544 |    2431635 |    2724101 |    2528942 |   13562529 |    2431485 |    2724208 |    2528910 |   13562501 |    2431453 |    2724279 |    2528985 |   13562510 |    2431633 |    2724068 |    2529087
    num cache misses                 |       8774 |       1287 |       1250 |       1172 |       8783 |       1242 |       1274 |       1141 |       8802 |       1249 |       1280 |       1164 |       8821 |       1288 |       1232 |       1212
    miss rate                        |      0.06% |      0.05% |      0.05% |      0.05% |      0.06% |      0.05% |      0.05% |      0.05% |      0.06% |      0.05% |      0.05% |      0.05% |      0.07% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.08 |       0.04 |       0.04 |       0.04 |       0.08 |       0.04 |       0.04 |       0.04 |       0.08 |       0.04 |       0.04 |       0.04 |       0.08 |       0.04 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   34790488 |    5156548 |    5155857 |    5155566 |   34790430 |    5155867 |    5156480 |    5155292 |   34790417 |    5155804 |    5156592 |    5155630 |   34790401 |    5156542 |    5155805 |    5156026
