                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     268468 |          0 |          0 |          0 |     268468 |          0 |          0 |          0 |     268468 |          0 |          0 |          0 |     268468 |          0 |          0 |          0
  Cycles                             |     542400 |     542400 |     542400 |     542400 |     542400 |     542400 |     542400 |     542400 |     542400 |     542400 |     542400 |     542400 |     542400 |     542400 |     542400 |     542400
  IPC                                |       0.49 |       0.00 |       0.00 |       0.00 |       0.49 |       0.00 |       0.00 |       0.00 |       0.49 |       0.00 |       0.00 |       0.00 |       0.49 |       0.00 |       0.00 |       0.00
  Time (ns)                          |     135600 |     135600 |     135600 |     135600 |     135600 |     135600 |     135600 |     135600 |     135600 |     135600 |     135600 |     135600 |     135600 |     135600 |     135600 |     135600
  Idle time (ns)                     |       1232 |     135600 |     135600 |     135600 |       2028 |     135600 |     135600 |     135600 |       2029 |     135600 |     135600 |     135600 |       1000 |     135600 |     135600 |     135600
  Idle time (%)                      |       0.9% |     100.0% |     100.0% |     100.0% |       1.5% |     100.0% |     100.0% |     100.0% |       1.5% |     100.0% |     100.0% |     100.0% |       0.7% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      43035 |          0 |          0 |          0 |      43026 |          0 |          0 |          0 |      43019 |          0 |          0 |          0 |      43029 |          0 |          0 |          0
  num incorrect                      |       5467 |          0 |          0 |          0 |       5476 |          0 |          0 |          0 |       5483 |          0 |          0 |          0 |       5473 |          0 |          0 |          0
  misprediction rate                 |     11.27% |      0.00% |      0.00% |      0.00% |     11.29% |      0.00% |      0.00% |      0.00% |     11.30% |      0.00% |      0.00% |      0.00% |     11.28% |      0.00% |      0.00% |      0.00%
  mpki                               |      20.36 |       0.00 |       0.00 |       0.00 |      20.40 |       0.00 |       0.00 |       0.00 |      20.42 |       0.00 |       0.00 |       0.00 |      20.39 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      33226 |          0 |          0 |          0 |      33226 |          0 |          0 |          0 |      33226 |          0 |          0 |          0 |      33226 |          0 |          0 |          0
    num misses                       |         92 |          0 |          0 |          0 |         92 |          0 |          0 |          0 |         92 |          0 |          0 |          0 |         92 |          0 |          0 |          0
    miss rate                        |      0.28% |      0.00% |      0.00% |      0.00% |      0.28% |      0.00% |      0.00% |      0.00% |      0.28% |      0.00% |      0.00% |      0.00% |      0.28% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.34 |       0.00 |       0.00 |       0.00 |       0.34 |       0.00 |       0.00 |       0.00 |       0.34 |       0.00 |       0.00 |       0.00 |       0.34 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      84024 |          0 |          0 |          0 |      84021 |          0 |          0 |          0 |      84021 |          0 |          0 |          0 |      84024 |          0 |          0 |          0
    num misses                       |        128 |          0 |          0 |          0 |        146 |          0 |          0 |          0 |        160 |          0 |          0 |          0 |        139 |          0 |          0 |          0
    miss rate                        |      0.15% |      0.00% |      0.00% |      0.00% |      0.17% |      0.00% |      0.00% |      0.00% |      0.19% |      0.00% |      0.00% |      0.00% |      0.17% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.48 |       0.00 |       0.00 |       0.00 |       0.54 |       0.00 |       0.00 |       0.00 |       0.60 |       0.00 |       0.00 |       0.00 |       0.52 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        220 |          0 |          0 |          0 |        238 |          0 |          0 |          0 |        252 |          0 |          0 |          0 |        231 |          0 |          0 |          0
    num misses                       |        185 |          0 |          0 |          0 |        186 |          0 |          0 |          0 |        185 |          0 |          0 |          0 |        185 |          0 |          0 |          0
