                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  120733602 |  118855341 |  106129304 |  108562962 |  120733119 |  118855561 |  106130133 |  108563869 |  120733334 |  118855661 |  106130383 |  108563282 |  120733310 |  118855608 |  106130442 |  108563653
  Cycles                             |  133819600 |  133819600 |  133819600 |  133819600 |  133819600 |  133819600 |  133819600 |  133819600 |  133819600 |  133819600 |  133819600 |  133819600 |  133819600 |  133819600 |  133819600 |  133819600
  IPC                                |       0.90 |       0.89 |       0.79 |       0.81 |       0.90 |       0.89 |       0.79 |       0.81 |       0.90 |       0.89 |       0.79 |       0.81 |       0.90 |       0.89 |       0.79 |       0.81
  Time (ns)                          |   33454900 |   33454900 |   33454900 |   33454900 |   33454900 |   33454900 |   33454900 |   33454900 |   33454900 |   33454900 |   33454900 |   33454900 |   33454900 |   33454900 |   33454900 |   33454900
  Idle time (ns)                     |    3917432 |    5109420 |    8557511 |    7844650 |    3935064 |    5103727 |    8616395 |    7959989 |    3997222 |    5123504 |    8765046 |    8023707 |    3987242 |    5098289 |    8454372 |    7951218
  Idle time (%)                      |      11.7% |      15.3% |      25.6% |      23.4% |      11.8% |      15.3% |      25.8% |      23.8% |      11.9% |      15.3% |      26.2% |      24.0% |      11.9% |      15.2% |      25.3% |      23.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10845538 |    8443100 |    8461992 |    8474058 |   10851586 |    8426731 |    8458084 |    8469423 |   10843487 |    8420445 |    8460501 |    8470769 |   10850370 |    8425597 |    8458463 |    8469610
  num incorrect                      |     517918 |     565031 |     422821 |     451652 |     511786 |     581453 |     426820 |     456393 |     519918 |     587760 |     424448 |     454952 |     513018 |     582593 |     426493 |     456166
  misprediction rate                 |      4.56% |      6.27% |      4.76% |      5.06% |      4.50% |      6.45% |      4.80% |      5.11% |      4.58% |      6.52% |      4.78% |      5.10% |      4.51% |      6.47% |      4.80% |      5.11%
  mpki                               |       4.29 |       4.75 |       3.98 |       4.16 |       4.24 |       4.89 |       4.02 |       4.20 |       4.31 |       4.95 |       4.00 |       4.19 |       4.25 |       4.90 |       4.02 |       4.20
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15068735 |   13111415 |   13238005 |   13197674 |   15068642 |   13111470 |   13238073 |   13197764 |   15068687 |   13111491 |   13238124 |   13197635 |   15068670 |   13111483 |   13238130 |   13197712
    num misses                       |        165 |         44 |         44 |         43 |        163 |         45 |         45 |         43 |        161 |         44 |         44 |         44 |        161 |         44 |         44 |         44
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   47137761 |   44700389 |   41845801 |   42399982 |   47137589 |   44700466 |   41846122 |   42400340 |   47127111 |   44700516 |   41846203 |   42400131 |   47127091 |   44700489 |   41846230 |   42400265
    num misses                       |      92000 |      78677 |      78678 |      79079 |      87307 |      77386 |      79945 |      78458 |     107637 |      77771 |      77868 |      78207 |      86329 |      77973 |      80892 |      78083
    miss rate                        |      0.20% |      0.18% |      0.19% |      0.19% |      0.19% |      0.17% |      0.19% |      0.19% |      0.23% |      0.17% |      0.19% |      0.18% |      0.18% |      0.17% |      0.19% |      0.18%
    mpki                             |       0.76 |       0.66 |       0.74 |       0.73 |       0.72 |       0.65 |       0.75 |       0.72 |       0.89 |       0.65 |       0.73 |       0.72 |       0.72 |       0.66 |       0.76 |       0.72
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
