                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  105643696 |   96490791 |   96510430 |   96503616 |  105643784 |   96490857 |   96510240 |   96503281 |  105643944 |   96491224 |   96510556 |   96502345 |  105643124 |   96490653 |   96509843 |   96503240
  Cycles                             |  101934000 |  101934000 |  101934000 |  101934000 |  101934000 |  101934000 |  101934000 |  101934000 |  101934000 |  101934000 |  101934000 |  101934000 |  101934000 |  101934000 |  101934000 |  101934000
  IPC                                |       1.04 |       0.95 |       0.95 |       0.95 |       1.04 |       0.95 |       0.95 |       0.95 |       1.04 |       0.95 |       0.95 |       0.95 |       1.04 |       0.95 |       0.95 |       0.95
  Time (ns)                          |   25483500 |   25483500 |   25483500 |   25483500 |   25483500 |   25483500 |   25483500 |   25483500 |   25483500 |   25483500 |   25483500 |   25483500 |   25483500 |   25483500 |   25483500 |   25483500
  Idle time (ns)                     |     947250 |    4782692 |    4655577 |    4168990 |    1508852 |    4750587 |    4741490 |    4612414 |    1113203 |    4660994 |    4786417 |    4185490 |    1035684 |    4572522 |    4531530 |    4450042
  Idle time (%)                      |       3.7% |      18.8% |      18.3% |      16.4% |       5.9% |      18.6% |      18.6% |      18.1% |       4.4% |      18.3% |      18.8% |      16.4% |       4.1% |      17.9% |      17.8% |      17.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    9573437 |    8150621 |    8151441 |    8149754 |    9573861 |    8151026 |    8152076 |    8148985 |    9570998 |    8151718 |    8152248 |    8150466 |    9574874 |    8151531 |    8152211 |    8150308
  num incorrect                      |     165475 |      91259 |      90346 |      91614 |     165054 |      90862 |      89690 |      92342 |     167953 |      90252 |      89569 |      90699 |     163934 |      90377 |      89488 |      91038
  misprediction rate                 |      1.70% |      1.11% |      1.10% |      1.11% |      1.69% |      1.10% |      1.09% |      1.12% |      1.72% |      1.10% |      1.09% |      1.10% |      1.68% |      1.10% |      1.09% |      1.10%
  mpki                               |       1.57 |       0.95 |       0.94 |       0.95 |       1.56 |       0.94 |       0.93 |       0.96 |       1.59 |       0.94 |       0.93 |       0.94 |       1.55 |       0.94 |       0.93 |       0.94
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   14125941 |   12850882 |   12873586 |   12872840 |   14125958 |   12850881 |   12873557 |   12872841 |   14125995 |   12850976 |   12873615 |   12872670 |   14125823 |   12850948 |   12873466 |   12872874
    num misses                       |        158 |         49 |         49 |         50 |        162 |         50 |         50 |         50 |        157 |         49 |         49 |         50 |        158 |         49 |         49 |         49
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   41528184 |   38232628 |   38254835 |   38251539 |   41548151 |   38232652 |   38254759 |   38251357 |   41528249 |   38232782 |   38254884 |   38251071 |   41547931 |   38232558 |   38254632 |   38251400
    num misses                       |      46581 |      26161 |      25721 |      34373 |      37646 |      28757 |      39324 |      31037 |      29711 |      28835 |      37387 |      33715 |      43548 |      35726 |      25461 |      29445
    miss rate                        |      0.11% |      0.07% |      0.07% |      0.09% |      0.09% |      0.08% |      0.10% |      0.08% |      0.07% |      0.08% |      0.10% |      0.09% |      0.10% |      0.09% |      0.07% |      0.08%
    mpki                             |       0.44 |       0.27 |       0.27 |       0.36 |       0.36 |       0.30 |       0.41 |       0.32 |       0.28 |       0.30 |       0.39 |       0.35 |       0.41 |       0.37 |       0.26 |       0.31
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      46739 |      26210 |      25770 |      34423 |      37808 |      28807 |      39374 |      31087 |      29868 |      28884 |      37436 |      33765 |      43706 |      35775 |      25510 |      29494
    num misses                       |      11908 |       9836 |       9662 |      10018 |      11729 |      10266 |       9473 |      10515 |      11267 |      10414 |       9930 |      10335 |      11798 |       9875 |       9539 |       9912
    miss rate                        |     25.48% |     37.53% |     37.49% |     29.10% |     31.02% |     35.64% |     24.06% |     33.82% |     37.72% |     36.05% |     26.53% |     30.61% |     26.99% |     27.60% |     37.39% |     33.61%
    mpki                             |       0.11 |       0.10 |       0.10 |       0.10 |       0.11 |       0.11 |       0.10 |       0.11 |       0.11 |       0.11 |       0.10 |       0.11 |       0.11 |       0.10 |       0.10 |       0.10
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   14125941 |   12850882 |   12873586 |   12872840 |   14125958 |   12850881 |   12873557 |   12872841 |   14125995 |   12850976 |   12873615 |   12872670 |   14125823 |   12850948 |   12873466 |   12872874
    num cache misses                 |    1653504 |     979843 |     979135 |     980632 |    1649943 |     978930 |     978301 |     978857 |    1650805 |     979830 |     979138 |     980615 |    1651989 |     979042 |     978335 |     978932
    miss rate                        |     11.71% |      7.62% |      7.61% |      7.62% |     11.68% |      7.62% |      7.60% |      7.60% |     11.69% |      7.62% |      7.61% |      7.62% |     11.69% |      7.62% |      7.60% |      7.60%
    mpki                             |      15.65 |      10.15 |      10.15 |      10.16 |      15.62 |      10.15 |      10.14 |      10.14 |      15.63 |      10.15 |      10.15 |      10.16 |      15.64 |      10.15 |      10.14 |      10.14
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
