                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  101456813 |   63412324 |   60611369 |   63474585 |  101457034 |   63474301 |   60610442 |   63409976 |  101457034 |   63476275 |   60610466 |   63410356 |  101456822 |   63411936 |   60610962 |   63473732
  Cycles                             |   55498800 |   55498800 |   55498800 |   55498800 |   55498800 |   55498800 |   55498800 |   55498800 |   55498800 |   55498800 |   55498800 |   55498800 |   55498800 |   55498800 |   55498800 |   55498800
  IPC                                |       1.83 |       1.14 |       1.09 |       1.14 |       1.83 |       1.14 |       1.09 |       1.14 |       1.83 |       1.14 |       1.09 |       1.14 |       1.83 |       1.14 |       1.09 |       1.14
  Time (ns)                          |   13874700 |   13874700 |   13874700 |   13874700 |   13874700 |   13874700 |   13874700 |   13874700 |   13874700 |   13874700 |   13874700 |   13874700 |   13874700 |   13874700 |   13874700 |   13874700
  Idle time (ns)                     |    1483311 |    5857836 |    6138548 |    5769818 |    1490586 |    5781908 |    6120830 |    5833883 |    1488663 |    5768316 |    6131315 |    5858068 |    1486579 |    5841432 |    6127157 |    5784685
  Idle time (%)                      |      10.7% |      42.2% |      44.2% |      41.6% |      10.7% |      41.7% |      44.1% |      42.0% |      10.7% |      41.6% |      44.2% |      42.2% |      10.7% |      42.1% |      44.2% |      41.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   11067104 |    8502909 |    8126580 |    8511507 |   11067006 |    8511153 |    8126170 |    8502305 |   11067317 |    8511717 |    8126465 |    8502669 |   11066902 |    8502518 |    8126205 |    8511119
  num incorrect                      |      26095 |      19433 |      19782 |      21343 |      26244 |      21656 |      20070 |      19742 |      25904 |      21339 |      19776 |      19418 |      26304 |      19780 |      20072 |      21627
  misprediction rate                 |      0.24% |      0.23% |      0.24% |      0.25% |      0.24% |      0.25% |      0.25% |      0.23% |      0.23% |      0.25% |      0.24% |      0.23% |      0.24% |      0.23% |      0.25% |      0.25%
  mpki                               |       0.26 |       0.31 |       0.33 |       0.34 |       0.26 |       0.34 |       0.33 |       0.31 |       0.26 |       0.34 |       0.33 |       0.31 |       0.26 |       0.31 |       0.33 |       0.34
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    6286087 |    2492324 |    2371274 |    2473450 |    6286128 |    2473392 |    2371180 |    2492127 |    6286117 |    2473619 |    2371169 |    2492196 |    6286080 |    2492353 |    2371191 |    2473366
    num misses                       |        137 |         36 |         36 |         36 |        132 |         37 |         36 |         36 |        134 |         36 |         36 |         36 |        132 |         35 |         36 |         36
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   38141154 |   26765956 |   25567157 |   26762731 |   38141246 |   26762645 |   25566776 |   26764978 |   38141193 |   26763437 |   25566761 |   26765076 |   38141126 |   26765770 |   25567003 |   26762370
    num misses                       |      34936 |       1865 |       1776 |       1815 |      34882 |       1848 |       1794 |       1878 |      34974 |       1874 |       1802 |       1858 |      34901 |       1863 |       1772 |       1812
    miss rate                        |      0.09% |      0.01% |      0.01% |      0.01% |      0.09% |      0.01% |      0.01% |      0.01% |      0.09% |      0.01% |      0.01% |      0.01% |      0.09% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.34 |       0.03 |       0.03 |       0.03 |       0.34 |       0.03 |       0.03 |       0.03 |       0.34 |       0.03 |       0.03 |       0.03 |       0.34 |       0.03 |       0.03 |       0.03
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      35073 |       1901 |       1812 |       1851 |      35014 |       1885 |       1830 |       1914 |      35108 |       1910 |       1838 |       1894 |      35033 |       1898 |       1808 |       1848
    num misses                       |       1506 |        375 |        366 |        358 |       1504 |        373 |        362 |        357 |       1510 |        379 |        366 |        353 |       1566 |        373 |        365 |        352
    miss rate                        |      4.29% |     19.73% |     20.20% |     19.34% |      4.30% |     19.79% |     19.78% |     18.65% |      4.30% |     19.84% |     19.91% |     18.64% |      4.47% |     19.65% |     20.19% |     19.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    6286087 |    2492324 |    2371274 |    2473450 |    6286128 |    2473392 |    2371180 |    2492127 |    6286117 |    2473619 |    2371169 |    2492196 |    6286080 |    2492353 |    2371191 |    2473366
    num cache misses                 |       9005 |       3814 |       3958 |       4276 |       8669 |       3999 |       4439 |       4248 |       9136 |       4347 |       3906 |       3757 |       8581 |       4232 |       4353 |       3862
    miss rate                        |      0.14% |      0.15% |      0.17% |      0.17% |      0.14% |      0.16% |      0.19% |      0.17% |      0.15% |      0.18% |      0.16% |      0.15% |      0.14% |      0.17% |      0.18% |      0.16%
    mpki                             |       0.09 |       0.06 |       0.07 |       0.07 |       0.09 |       0.06 |       0.07 |       0.07 |       0.09 |       0.07 |       0.06 |       0.06 |       0.08 |       0.07 |       0.07 |       0.06
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   38141154 |   26765956 |   25567157 |   26762731 |   38141246 |   26762645 |   25566776 |   26764978 |   38141193 |   26763437 |   25566761 |   26765076 |   38141126 |   26765770 |   25567003 |   26762370
    num cache misses                 |     273741 |     191112 |     182033 |     190824 |     273596 |     190912 |     182073 |     191050 |     273903 |     190966 |     182020 |     191034 |     273773 |     191124 |     181991 |     190807
    miss rate                        |      0.72% |      0.71% |      0.71% |      0.71% |      0.72% |      0.71% |      0.71% |      0.71% |      0.72% |      0.71% |      0.71% |      0.71% |      0.72% |      0.71% |      0.71% |      0.71%
    mpki                             |       2.70 |       3.01 |       3.00 |       3.01 |       2.70 |       3.01 |       3.00 |       3.01 |       2.70 |       3.01 |       3.00 |       3.01 |       2.70 |       3.01 |       3.00 |       3.01
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     377351 |     283926 |     271176 |     284496 |     376700 |     284285 |     271656 |     284332 |     377653 |     284717 |     271158 |     283791 |     376743 |     284532 |     271598 |     283960
    num cache misses                 |     200379 |     118248 |     112826 |     121154 |     197441 |     119623 |     114491 |     120036 |     199512 |     121336 |     112850 |     118146 |     197944 |     119821 |     114168 |     119601
    miss rate                        |     53.10% |     41.65% |     41.61% |     42.59% |     52.41% |     42.08% |     42.15% |     42.22% |     52.83% |     42.62% |     41.62% |     41.63% |     52.54% |     42.11% |     42.04% |     42.12%
    mpki                             |       1.98 |       1.86 |       1.86 |       1.91 |       1.95 |       1.88 |       1.89 |       1.89 |       1.97 |       1.91 |       1.86 |       1.86 |       1.95 |       1.89 |       1.88 |       1.88
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     217697 |     215268 |     217776 |     215262 |     226338 |     221590 |     221684 |     222969 |     219768 |     215790 |     214992 |     212819 |     221657 |     213896 |     214868 |     219380
  average dram access latency (ns)   |      25.78 |      25.24 |      25.34 |      24.83 |      25.66 |      25.02 |      25.34 |      24.87 |      25.23 |      24.73 |      24.93 |      24.68 |      25.24 |      24.66 |      24.96 |      24.76
  average dram queueing delay        |       2.35 |       1.81 |       1.91 |       1.40 |       2.23 |       1.59 |       1.91 |       1.44 |       1.80 |       1.30 |       1.50 |       1.25 |       1.81 |       1.23 |       1.53 |       1.33
  average dram bandwidth utilization |     13.00% |     13.00% |     13.00% |     13.00% |     13.00% |     13.00% |     13.00% |     13.00% |     13.00% |     13.00% |     13.00% |     12.00% |     13.00% |     12.00% |     13.00% |     13.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |     147791 |     101124 |      98342 |     104592 |     145856 |     103708 |      98403 |     101632 |     146780 |     104679 |      97216 |     102070 |     146354 |     101063 |      98968 |     103643
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      12531 |      13207 |      10751 |      12315 |      11799 |      11840 |      11903 |      14004 |      12525 |      12331 |      11921 |      12181 |      11838 |      14354 |      11083 |      12011
