                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   86002955 |   62099487 |   59356697 |   62158045 |   86003261 |   62099521 |   59354288 |   62157913 |   86003079 |   62099288 |   59355405 |   62158738 |   86002760 |   62099963 |   59354708 |   62157817
  Cycles                             |  321532800 |  321532800 |  321532800 |  321532800 |  321532800 |  321532800 |  321532800 |  321532800 |  321532800 |  321532800 |  321532800 |  321532800 |  321532800 |  321532800 |  321532800 |  321532800
  IPC                                |       0.27 |       0.19 |       0.18 |       0.19 |       0.27 |       0.19 |       0.18 |       0.19 |       0.27 |       0.19 |       0.18 |       0.19 |       0.27 |       0.19 |       0.18 |       0.19
  Time (ns)                          |   80383200 |   80383200 |   80383200 |   80383200 |   80383200 |   80383200 |   80383200 |   80383200 |   80383200 |   80383200 |   80383200 |   80383200 |   80383200 |   80383200 |   80383200 |   80383200
  Idle time (ns)                     |    9813514 |   16380441 |   17752515 |   12646494 |    5969418 |   13562384 |   13540730 |    8368260 |    5753534 |   13185433 |   13728155 |    8429634 |   13596255 |   17960019 |   19262505 |   15527320
  Idle time (%)                      |      12.2% |      20.4% |      22.1% |      15.7% |       7.4% |      16.9% |      16.8% |      10.4% |       7.2% |      16.4% |      17.1% |      10.5% |      16.9% |      22.3% |      24.0% |      19.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10407611 |    8502511 |    8126429 |    8511182 |   10411281 |    8502547 |    8126141 |    8511182 |   10407850 |    8502504 |    8126292 |    8511266 |   10407789 |    8502573 |    8126218 |    8511133
  num incorrect                      |      26172 |      19618 |      19959 |      21505 |      22550 |      19600 |      19897 |      21502 |      25970 |      19601 |      19912 |      21514 |      25969 |      19625 |      19895 |      21516
  misprediction rate                 |      0.25% |      0.23% |      0.25% |      0.25% |      0.22% |      0.23% |      0.24% |      0.25% |      0.25% |      0.23% |      0.24% |      0.25% |      0.25% |      0.23% |      0.24% |      0.25%
