                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   79364061 |   78821683 |   78431626 |   78529919 |   79265755 |   78921096 |   78430945 |   78528043 |   79260451 |   78528734 |   78430978 |   78925712 |   78961277 |   78927866 |   78423740 |   78836157
  Cycles                             |  233348000 |  233348000 |  233348000 |  233348000 |  233348000 |  233348000 |  233348000 |  233348000 |  233348000 |  233348000 |  233348000 |  233348000 |  233348000 |  233348000 |  233348000 |  233348000
  IPC                                |       0.34 |       0.34 |       0.34 |       0.34 |       0.34 |       0.34 |       0.34 |       0.34 |       0.34 |       0.34 |       0.34 |       0.34 |       0.34 |       0.34 |       0.34 |       0.34
  Time (ns)                          |   58337000 |   58337000 |   58337000 |   58337000 |   58337000 |   58337000 |   58337000 |   58337000 |   58337000 |   58337000 |   58337000 |   58337000 |   58337000 |   58337000 |   58337000 |   58337000
  Idle time (ns)                     |    2922747 |    3009287 |    3104444 |    3166595 |    2797050 |    3194882 |    3101144 |    3273104 |    2823945 |    3189867 |    3119930 |    3219842 |    1863258 |    2917829 |    2044445 |    2799166
  Idle time (%)                      |       5.0% |       5.2% |       5.3% |       5.4% |       4.8% |       5.5% |       5.3% |       5.6% |       4.8% |       5.5% |       5.3% |       5.5% |       3.2% |       5.0% |       3.5% |       4.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    3793007 |    3716354 |    3665621 |    3674718 |    3784840 |    3724476 |    3665822 |    3674465 |    3783698 |    3674563 |    3665834 |    3725376 |    3741417 |    3726170 |    3664810 |    3719336
  num incorrect                      |      21589 |      14602 |      14083 |      13435 |      22264 |      14393 |      13937 |      13350 |      22355 |      13374 |      13908 |      14255 |      20555 |      13850 |      13592 |      14411
  misprediction rate                 |      0.57% |      0.39% |      0.38% |      0.36% |      0.58% |      0.38% |      0.38% |      0.36% |      0.59% |      0.36% |      0.38% |      0.38% |      0.55% |      0.37% |      0.37% |      0.39%
  mpki                               |       0.27 |       0.19 |       0.18 |       0.17 |       0.28 |       0.18 |       0.18 |       0.17 |       0.28 |       0.17 |       0.18 |       0.18 |       0.26 |       0.18 |       0.17 |       0.18
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8265775 |    8201972 |    8156235 |    8167006 |    8255443 |    8212625 |    8156163 |    8166426 |    8254220 |    8166710 |    8156125 |    8213615 |    8217927 |    8213707 |    8154474 |    8204838
