                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   82078044 |   81364873 |   81233214 |   81302013 |   82073265 |   81308066 |   81227116 |   81371359 |   82144451 |   81302875 |   81235406 |   81296803 |   82086996 |   81361019 |   81230988 |   81298204
  Cycles                             |  389055200 |  389055200 |  389055200 |  389055200 |  389055200 |  389055200 |  389055200 |  389055200 |  389055200 |  389055200 |  389055200 |  389055200 |  389055200 |  389055200 |  389055200 |  389055200
  IPC                                |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  Time (ns)                          |   97263800 |   97263800 |   97263800 |   97263800 |   97263800 |   97263800 |   97263800 |   97263800 |   97263800 |   97263800 |   97263800 |   97263800 |   97263800 |   97263800 |   97263800 |   97263800
  Idle time (ns)                     |    3772984 |    2973465 |    2657979 |    2475937 |    4373747 |    2409778 |    2215099 |    3625017 |    2933434 |    2316333 |    2574080 |    3406362 |    2587351 |    2866100 |    2664199 |    3779897
  Idle time (%)                      |       3.9% |       3.1% |       2.7% |       2.5% |       4.5% |       2.5% |       2.3% |       3.7% |       3.0% |       2.4% |       2.6% |       3.5% |       2.7% |       2.9% |       2.7% |       3.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    3804359 |    3691956 |    3687404 |    3691454 |    3803945 |    3693593 |    3687435 |    3693829 |    3808324 |    3692820 |    3688887 |    3689824 |    3809316 |    3692934 |    3688211 |    3689994
  num incorrect                      |      24114 |      14580 |      17830 |      15013 |      23516 |      14083 |      16769 |      13942 |      20233 |      13839 |      16866 |      16065 |      20265 |      12921 |      16808 |      16233
  misprediction rate                 |      0.63% |      0.39% |      0.48% |      0.41% |      0.61% |      0.38% |      0.45% |      0.38% |      0.53% |      0.37% |      0.46% |      0.43% |      0.53% |      0.35% |      0.45% |      0.44%
  mpki                               |       0.29 |       0.18 |       0.22 |       0.18 |       0.29 |       0.17 |       0.21 |       0.17 |       0.25 |       0.17 |       0.21 |       0.20 |       0.25 |       0.16 |       0.21 |       0.20
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8684256 |    8642716 |    8642332 |    8642140 |    8683150 |    8643221 |    8641066 |    8644120 |    8682976 |    8642288 |    8642947 |    8643387 |    8683530 |    8641927 |    8642033 |    8643752
    num misses                       |        151 |         53 |         53 |         52 |        151 |         52 |         53 |         53 |        151 |         52 |         53 |         53 |        151 |         53 |         53 |         53
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   29829600 |   29755468 |   29564646 |   29723939 |   29828222 |   29726295 |   29562456 |   29757866 |   29988733 |   29724391 |   29565414 |   29596207 |   29959308 |   29754074 |   29563902 |   29596648
    num misses                       |    2841719 |    2823297 |    2817531 |    2827932 |    2841905 |    2828024 |    2817833 |    2823549 |    2824390 |    2827838 |    2817556 |    2840412 |    2828999 |    2823320 |    2817466 |    2840299
    miss rate                        |      9.53% |      9.49% |      9.53% |      9.51% |      9.53% |      9.51% |      9.53% |      9.49% |      9.42% |      9.51% |      9.53% |      9.60% |      9.44% |      9.49% |      9.53% |      9.60%
    mpki                             |      34.62 |      34.70 |      34.68 |      34.78 |      34.63 |      34.78 |      34.69 |      34.70 |      34.38 |      34.78 |      34.68 |      34.94 |      34.46 |      34.70 |      34.68 |      34.94
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2841870 |    2823350 |    2817584 |    2827984 |    2842056 |    2828076 |    2817886 |    2823602 |    2824541 |    2827890 |    2817609 |    2840465 |    2829150 |    2823373 |    2817519 |    2840352
    num misses                       |    1145414 |    1300412 |    2201928 |    2198715 |    1145541 |    2199069 |    2202155 |    1299944 |    1301456 |    2198625 |    2201977 |    1144134 |    2200374 |    1300382 |    2202070 |    1144225
    miss rate                        |     40.30% |     46.06% |     78.15% |     77.75% |     40.31% |     77.76% |     78.15% |     46.04% |     46.08% |     77.75% |     78.15% |     40.28% |     77.78% |     46.06% |     78.16% |     40.28%
    mpki                             |      13.96 |      15.98 |      27.11 |      27.04 |      13.96 |      27.05 |      27.11 |      15.98 |      15.84 |      27.04 |      27.11 |      14.07 |      26.81 |      15.98 |      27.11 |      14.07
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
