                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  101457987 |   63476277 |   60610700 |   63411820 |  101457956 |   63475357 |   60609781 |   63411136 |  101457860 |   63475566 |   60609959 |   63410835 |  101457821 |   63412695 |   60609683 |   63474837
  Cycles                             |  158744800 |  158744800 |  158744800 |  158744800 |  158744800 |  158744800 |  158744800 |  158744800 |  158744800 |  158744800 |  158744800 |  158744800 |  158744800 |  158744800 |  158744800 |  158744800
  IPC                                |       0.64 |       0.40 |       0.38 |       0.40 |       0.64 |       0.40 |       0.38 |       0.40 |       0.64 |       0.40 |       0.38 |       0.40 |       0.64 |       0.40 |       0.38 |       0.40
  Time (ns)                          |   39686200 |   39686200 |   39686200 |   39686200 |   39686200 |   39686200 |   39686200 |   39686200 |   39686200 |   39686200 |   39686200 |   39686200 |   39686200 |   39686200 |   39686200 |   39686200
  Idle time (ns)                     |    4602210 |   14702122 |   15846445 |   17137773 |    2226233 |   14712356 |   15862987 |   14832010 |    2267833 |   14730466 |   15851866 |   14837730 |    4611144 |   14845653 |   15880553 |   17336462
  Idle time (%)                      |      11.6% |      37.0% |      39.9% |      43.2% |       5.6% |      37.1% |      40.0% |      37.4% |       5.7% |      37.1% |      39.9% |      37.4% |      11.6% |      37.4% |      40.0% |      43.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   11067416 |    8511720 |    8126437 |    8502804 |   11067423 |    8511625 |    8126341 |    8502790 |   11067324 |    8511693 |    8126326 |    8502752 |   11067377 |    8502917 |    8126337 |    8511618
  num incorrect                      |      25979 |      21354 |      19793 |      19479 |      25951 |      21309 |      19787 |      19411 |      26035 |      21305 |      19806 |      19411 |      25982 |      19481 |      19762 |      21297
  misprediction rate                 |      0.23% |      0.25% |      0.24% |      0.23% |      0.23% |      0.25% |      0.24% |      0.23% |      0.23% |      0.25% |      0.24% |      0.23% |      0.23% |      0.23% |      0.24% |      0.25%
  mpki                               |       0.26 |       0.34 |       0.33 |       0.31 |       0.26 |       0.34 |       0.33 |       0.31 |       0.26 |       0.34 |       0.33 |       0.31 |       0.26 |       0.31 |       0.33 |       0.34
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    6286293 |    2473618 |    2371140 |    2492310 |    6286268 |    2473516 |    2371047 |    2492278 |    6286253 |    2473576 |    2371068 |    2492210 |    6286251 |    2492412 |    2371015 |    2473495
    num misses                       |        133 |         36 |         36 |         36 |        132 |         36 |         36 |         35 |        134 |         36 |         36 |         36 |        135 |         36 |         36 |         37
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   38141591 |   26763445 |   25566906 |   26765715 |   38141582 |   26763064 |   25566551 |   26765439 |   38141549 |   26763161 |   25566582 |   26765337 |   38141560 |   26766081 |   25566517 |   26762808
    num misses                       |      35022 |       1887 |       1774 |       1886 |      34916 |       1877 |       1793 |       1888 |      34966 |       1882 |       1772 |       1878 |      34929 |       1893 |       1785 |       1807
    miss rate                        |      0.09% |      0.01% |      0.01% |      0.01% |      0.09% |      0.01% |      0.01% |      0.01% |      0.09% |      0.01% |      0.01% |      0.01% |      0.09% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.35 |       0.03 |       0.03 |       0.03 |       0.34 |       0.03 |       0.03 |       0.03 |       0.34 |       0.03 |       0.03 |       0.03 |       0.34 |       0.03 |       0.03 |       0.03
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      35155 |       1923 |       1810 |       1922 |      35048 |       1913 |       1829 |       1923 |      35100 |       1918 |       1808 |       1914 |      35064 |       1929 |       1821 |       1844
    num misses                       |       1506 |        378 |        365 |        359 |       1566 |        376 |        365 |        356 |       1508 |        374 |        362 |        356 |       1505 |        376 |        364 |        357
    miss rate                        |      4.28% |     19.66% |     20.17% |     18.68% |      4.47% |     19.65% |     19.96% |     18.51% |      4.30% |     19.50% |     20.02% |     18.60% |      4.29% |     19.49% |     19.99% |     19.36%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    6286293 |    2473618 |    2371140 |    2492310 |    6286268 |    2473516 |    2371047 |    2492278 |    6286253 |    2473576 |    2371068 |    2492210 |    6286251 |    2492412 |    2371015 |    2473495
    num cache misses                 |       8640 |       4002 |       4345 |       4277 |       9020 |       4354 |       3921 |       3829 |       8646 |       3958 |       4282 |       4205 |       8983 |       3834 |       3872 |       4268
    miss rate                        |      0.14% |      0.16% |      0.18% |      0.17% |      0.14% |      0.18% |      0.17% |      0.15% |      0.14% |      0.16% |      0.18% |      0.17% |      0.14% |      0.15% |      0.16% |      0.17%
    mpki                             |       0.09 |       0.06 |       0.07 |       0.07 |       0.09 |       0.07 |       0.06 |       0.06 |       0.09 |       0.06 |       0.07 |       0.07 |       0.09 |       0.06 |       0.06 |       0.07
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   38141591 |   26763445 |   25566906 |   26765715 |   38141582 |   26763064 |   25566551 |   26765439 |   38141549 |   26763161 |   25566582 |   26765337 |   38141560 |   26766081 |   25566517 |   26762808
    num cache misses                 |     273825 |     190982 |     182004 |     191037 |     273729 |     190967 |     182017 |     191073 |     273694 |     190912 |     181958 |     191001 |     273579 |     191109 |     181941 |     190870
    miss rate                        |      0.72% |      0.71% |      0.71% |      0.71% |      0.72% |      0.71% |      0.71% |      0.71% |      0.72% |      0.71% |      0.71% |      0.71% |      0.72% |      0.71% |      0.71% |      0.71%
    mpki                             |       2.70 |       3.01 |       3.00 |       3.01 |       2.70 |       3.01 |       3.00 |       3.01 |       2.70 |       3.01 |       3.00 |       3.01 |       2.70 |       3.01 |       3.00 |       3.01
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     376994 |     284330 |     271491 |     284347 |     377240 |     284647 |     271181 |     283980 |     376782 |     284161 |     271498 |     284365 |     377029 |     283939 |     271017 |     284531
    num cache misses                 |     198373 |     119651 |     114379 |     120029 |     199968 |     121638 |     112717 |     118078 |     197935 |     119752 |     114079 |     119672 |     199206 |     118276 |     112691 |     121179
    miss rate                        |     52.62% |     42.08% |     42.13% |     42.21% |     53.01% |     42.73% |     41.57% |     41.58% |     52.53% |     42.14% |     42.02% |     42.08% |     52.84% |     41.66% |     41.58% |     42.59%
    mpki                             |       1.96 |       1.88 |       1.89 |       1.89 |       1.97 |       1.92 |       1.86 |       1.86 |       1.95 |       1.89 |       1.88 |       1.89 |       1.96 |       1.87 |       1.86 |       1.91
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     218294 |     215160 |     217319 |     213846 |     223975 |     220700 |     220687 |     221693 |     219485 |     215300 |     214702 |     212527 |     219827 |     212929 |     214127 |     219476
  average dram access latency (ns)   |      24.36 |      24.13 |      24.11 |      23.93 |      24.26 |      24.01 |      24.12 |      23.93 |      24.14 |      23.92 |      24.03 |      23.90 |      24.14 |      23.91 |      24.05 |      23.95
  average dram queueing delay        |       0.93 |       0.70 |       0.68 |       0.50 |       0.83 |       0.58 |       0.69 |       0.50 |       0.71 |       0.50 |       0.60 |       0.47 |       0.71 |       0.48 |       0.62 |       0.52
  average dram bandwidth utilization |      4.00% |      4.00% |      4.00% |      4.00% |      4.00% |      4.00% |      4.00% |      4.00% |      4.00% |      4.00% |      4.00% |      4.00% |      4.00% |      4.00% |      4.00% |      4.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |     147376 |     100796 |      99625 |     105300 |     143420 |     101742 |      98232 |     100100 |     144317 |      98954 |      96532 |     102860 |     147293 |     100518 |      97724 |     105750
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
