                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   86005636 |   62096198 |   59354638 |   62159954 |   86002522 |   62099453 |   59355522 |   62158701 |   86002529 |   62098532 |   59355712 |   62157809 |   86005852 |   62096077 |   59355191 |   62159173
  Cycles                             |  289910400 |  289910400 |  289910400 |  289910400 |  289910400 |  289910400 |  289910400 |  289910400 |  289910400 |  289910400 |  289910400 |  289910400 |  289910400 |  289910400 |  289910400 |  289910400
  IPC                                |       0.30 |       0.21 |       0.20 |       0.21 |       0.30 |       0.21 |       0.20 |       0.21 |       0.30 |       0.21 |       0.20 |       0.21 |       0.30 |       0.21 |       0.20 |       0.21
  Time (ns)                          |   72477600 |   72477600 |   72477600 |   72477600 |   72477600 |   72477600 |   72477600 |   72477600 |   72477600 |   72477600 |   72477600 |   72477600 |   72477600 |   72477600 |   72477600 |   72477600
  Idle time (ns)                     |   18402919 |   11983414 |   15953573 |   26527342 |    4232362 |   14145612 |   17482780 |   14058041 |    3791677 |   12638994 |   17799890 |   14533607 |   17908707 |   11696704 |   15893998 |   26646678
  Idle time (%)                      |      25.4% |      16.5% |      22.0% |      36.6% |       5.8% |      19.5% |      24.1% |      19.4% |       5.2% |      17.4% |      24.6% |      20.1% |      24.7% |      16.1% |      21.9% |      36.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10408107 |    8501861 |    8126163 |    8511482 |   10407499 |    8502474 |    8126282 |    8511328 |   10407630 |    8502355 |    8126294 |    8511221 |   10408107 |    8501849 |    8126214 |    8511414
  num incorrect                      |      26177 |      19642 |      19923 |      21505 |      26210 |      19645 |      19929 |      21497 |      26083 |      19623 |      19947 |      21488 |      26212 |      19644 |      19940 |      21469
  misprediction rate                 |      0.25% |      0.23% |      0.24% |      0.25% |      0.25% |      0.23% |      0.24% |      0.25% |      0.25% |      0.23% |      0.24% |      0.25% |      0.25% |      0.23% |      0.24% |      0.25%
  mpki                               |       0.30 |       0.32 |       0.34 |       0.35 |       0.30 |       0.32 |       0.34 |       0.35 |       0.30 |       0.32 |       0.34 |       0.35 |       0.30 |       0.32 |       0.34 |       0.35
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    5429373 |    2386815 |    2306829 |    2415375 |    5428674 |    2387554 |    2306941 |    2415203 |    5428673 |    2387445 |    2306964 |    2415133 |    5429410 |    2386798 |    2306862 |    2415294
    num misses                       |        131 |         36 |         36 |         36 |        132 |         36 |         36 |         36 |        131 |         36 |         36 |         36 |        131 |         36 |         36 |         36
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   35979907 |   26093684 |   24922037 |   26089961 |   35978802 |   26094822 |   24922424 |   26089490 |   35978859 |   26094464 |   24922467 |   26089140 |   35979988 |   26093654 |   24922308 |   26089646
    num misses                       |      47250 |      43817 |      41986 |      44239 |      47231 |      43770 |      42092 |      44354 |      47239 |      43796 |      41977 |      44232 |      47287 |      43819 |      41992 |      44237
    miss rate                        |      0.13% |      0.17% |      0.17% |      0.17% |      0.13% |      0.17% |      0.17% |      0.17% |      0.13% |      0.17% |      0.17% |      0.17% |      0.13% |      0.17% |      0.17% |      0.17%
    mpki                             |       0.55 |       0.71 |       0.71 |       0.71 |       0.55 |       0.70 |       0.71 |       0.71 |       0.55 |       0.71 |       0.71 |       0.71 |       0.55 |       0.71 |       0.71 |       0.71
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      47381 |      43853 |      42022 |      44275 |      47363 |      43806 |      42128 |      44390 |      47370 |      43832 |      42013 |      44268 |      47418 |      43855 |      42028 |      44273
    num misses                       |      16984 |      13428 |      13012 |      15504 |      16995 |      13415 |      12997 |      15512 |      16988 |      13423 |      13014 |      15499 |      17113 |      13326 |      12913 |      15619
    miss rate                        |     35.85% |     30.62% |     30.96% |     35.02% |     35.88% |     30.62% |     30.85% |     34.94% |     35.86% |     30.62% |     30.98% |     35.01% |     36.09% |     30.39% |     30.72% |     35.28%
    mpki                             |       0.20 |       0.22 |       0.22 |       0.25 |       0.20 |       0.22 |       0.22 |       0.25 |       0.20 |       0.22 |       0.22 |       0.25 |       0.20 |       0.21 |       0.22 |       0.25
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5429373 |    2386815 |    2306829 |    2415375 |    5428674 |    2387554 |    2306941 |    2415203 |    5428673 |    2387445 |    2306964 |    2415133 |    5429410 |    2386798 |    2306862 |    2415294
    num cache misses                 |      17077 |      11517 |      11392 |      11416 |      16980 |      11506 |      11446 |      11405 |      16883 |      11496 |      11386 |      11373 |      17096 |      11555 |      11425 |      11407
    miss rate                        |      0.31% |      0.48% |      0.49% |      0.47% |      0.31% |      0.48% |      0.50% |      0.47% |      0.31% |      0.48% |      0.49% |      0.47% |      0.31% |      0.48% |      0.50% |      0.47%
    mpki                             |       0.20 |       0.19 |       0.19 |       0.18 |       0.20 |       0.19 |       0.19 |       0.18 |       0.20 |       0.19 |       0.19 |       0.18 |       0.20 |       0.19 |       0.19 |       0.18
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   35979907 |   26093684 |   24922037 |   26089961 |   35978802 |   26094822 |   24922424 |   26089490 |   35978859 |   26094464 |   24922467 |   26089140 |   35979988 |   26093654 |   24922308 |   26089646
    num cache misses                 |    2445740 |    2257146 |    2164171 |    2267893 |    2445928 |    2257280 |    2164587 |    2268238 |    2444942 |    2257268 |    2164192 |    2267778 |    2445582 |    2257052 |    2164579 |    2268275
    miss rate                        |      6.80% |      8.65% |      8.68% |      8.69% |      6.80% |      8.65% |      8.69% |      8.69% |      6.80% |      8.65% |      8.68% |      8.69% |      6.80% |      8.65% |      8.69% |      8.69%
    mpki                             |      28.44 |      36.35 |      36.46 |      36.48 |      28.44 |      36.35 |      36.47 |      36.49 |      28.43 |      36.35 |      36.46 |      36.48 |      28.44 |      36.35 |      36.47 |      36.49
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3908884 |    3644541 |    3489934 |    3659814 |    3907856 |    3643392 |    3489661 |    3659334 |    3907926 |    3644644 |    3489935 |    3659651 |    3907514 |    3643198 |    3489616 |    3659392
    num cache misses                 |    1809488 |    1644078 |    1577615 |    1657794 |    1807531 |    1642628 |    1576938 |    1656866 |    1826521 |    1644220 |    1577627 |    1657671 |    1830549 |    1642337 |    1576933 |    1656897
    miss rate                        |     46.29% |     45.11% |     45.20% |     45.30% |     46.25% |     45.09% |     45.19% |     45.28% |     46.74% |     45.11% |     45.21% |     45.30% |     46.85% |     45.08% |     45.19% |     45.28%
    mpki                             |      21.04 |      26.48 |      26.58 |      26.67 |      21.02 |      26.45 |      26.57 |      26.66 |      21.24 |      26.48 |      26.58 |      26.67 |      21.28 |      26.45 |      26.57 |      26.66
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    2501003 |    2600479 |    2674853 |    2738435 |    2848114 |    2954883 |    2976766 |    3064623 |    3110296 |    3124468 |    3196266 |    3249808 |    3297342 |    3354266 |    3399510 |    3449817
  average dram access latency (ns)   |      38.77 |      43.28 |      43.26 |      44.63 |      41.34 |      46.89 |      44.58 |      47.85 |      47.76 |      41.54 |      49.13 |      46.19 |      45.80 |      46.53 |      46.10 |      48.61
  average dram queueing delay        |      15.34 |      19.86 |      19.83 |      21.20 |      17.91 |      23.46 |      21.16 |      24.42 |      24.33 |      18.11 |      25.70 |      22.76 |      22.37 |      23.10 |      22.67 |      25.18
  average dram bandwidth utilization |     29.00% |     30.00% |     31.00% |     31.00% |     33.00% |     34.00% |     34.00% |     35.00% |     36.00% |     36.00% |     37.00% |     37.00% |     38.00% |     39.00% |     39.00% |     40.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |    1741351 |    1616985 |    1550464 |    1630708 |    1717649 |    1593058 |    1533041 |    1607007 |    1740439 |    1597519 |    1531750 |    1612736 |    1764001 |    1617003 |    1553078 |    1627484
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      18529 |      16131 |      16930 |      16210 |      40398 |      38418 |      33657 |      39001 |      36727 |      35625 |      35646 |      34096 |      16932 |      14339 |      13618 |      18534
