                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   79386166 |   78805452 |   78397901 |   78550371 |   79363029 |   78818505 |   78430334 |   78533358 |   79364045 |   78831004 |   78420734 |   78531864 |   79384192 |   78806239 |   78402011 |   78549746
  Cycles                             |  292452400 |  292452400 |  292452400 |  292452400 |  292452400 |  292452400 |  292452400 |  292452400 |  292452400 |  292452400 |  292452400 |  292452400 |  292452400 |  292452400 |  292452400 |  292452400
  IPC                                |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27
  Time (ns)                          |   73113100 |   73113100 |   73113100 |   73113100 |   73113100 |   73113100 |   73113100 |   73113100 |   73113100 |   73113100 |   73113100 |   73113100 |   73113100 |   73113100 |   73113100 |   73113100
  Idle time (ns)                     |   24681186 |    2983252 |    2899610 |   25133562 |    2516141 |    2060067 |    2280182 |    3054228 |    2579671 |    2290952 |    2141969 |    2881096 |   24442884 |    3006142 |    2928168 |   24868218
  Idle time (%)                      |      33.8% |       4.1% |       4.0% |      34.4% |       3.4% |       2.8% |       3.1% |       4.2% |       3.5% |       3.1% |       2.9% |       3.9% |      33.4% |       4.1% |       4.0% |      34.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    3797997 |    3713807 |    3660109 |    3679832 |    3792462 |    3715642 |    3665852 |    3676112 |    3792900 |    3718238 |    3664294 |    3675843 |    3797378 |    3713493 |    3660921 |    3679179
  num incorrect                      |      20960 |      14276 |      13639 |      12311 |      21929 |      14758 |      13847 |      12676 |      21666 |      14396 |      13545 |      12639 |      21190 |      14739 |      13646 |      12921
  misprediction rate                 |      0.55% |      0.38% |      0.37% |      0.33% |      0.57% |      0.40% |      0.38% |      0.34% |      0.57% |      0.39% |      0.37% |      0.34% |      0.55% |      0.40% |      0.37% |      0.35%
  mpki                               |       0.26 |       0.18 |       0.17 |       0.16 |       0.28 |       0.19 |       0.18 |       0.16 |       0.27 |       0.18 |       0.17 |       0.16 |       0.27 |       0.19 |       0.17 |       0.16
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8270456 |    8198580 |    8149384 |    8171243 |    8265628 |    8201386 |    8156348 |    8167600 |    8265833 |    8203788 |    8153997 |    8167420 |    8270012 |    8198748 |    8150218 |    8171139
    num misses                       |        156 |         52 |         52 |         52 |        162 |         52 |         52 |         52 |        163 |         52 |         52 |         52 |        159 |         52 |         52 |         52
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   30731458 |   30527887 |   30263656 |   30333479 |   30722691 |   30532351 |   30274983 |   30326919 |   30722912 |   30537049 |   30271711 |   30326276 |   30730663 |   30528269 |   30265214 |   30333350
    num misses                       |      70983 |      68013 |      64754 |      67586 |      71130 |      67427 |      64163 |      66988 |      70680 |      69664 |      64893 |      67345 |      70886 |      69358 |      63247 |      65665
    miss rate                        |      0.23% |      0.22% |      0.21% |      0.22% |      0.23% |      0.22% |      0.21% |      0.22% |      0.23% |      0.23% |      0.21% |      0.22% |      0.23% |      0.23% |      0.21% |      0.22%
    mpki                             |       0.89 |       0.86 |       0.83 |       0.86 |       0.90 |       0.86 |       0.82 |       0.85 |       0.89 |       0.88 |       0.83 |       0.86 |       0.89 |       0.88 |       0.81 |       0.84
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      71139 |      68065 |      64806 |      67638 |      71292 |      67479 |      64215 |      67040 |      70843 |      69716 |      64945 |      67397 |      71045 |      69410 |      63299 |      65717
    num misses                       |      17309 |      16851 |      15170 |      15741 |      17534 |      16035 |      15274 |      16205 |      17436 |      17017 |      14873 |      15980 |      17030 |      17209 |      15244 |      15605
    miss rate                        |     24.33% |     24.76% |     23.41% |     23.27% |     24.59% |     23.76% |     23.79% |     24.17% |     24.61% |     24.41% |     22.90% |     23.71% |     23.97% |     24.79% |     24.08% |     23.75%
    mpki                             |       0.22 |       0.21 |       0.19 |       0.20 |       0.22 |       0.20 |       0.19 |       0.21 |       0.22 |       0.22 |       0.19 |       0.20 |       0.21 |       0.22 |       0.19 |       0.20
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
