                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   82172592 |   81277309 |   81210983 |   81316273 |   82073342 |   81302945 |   81235283 |   81366699 |   82073693 |   81306452 |   81234248 |   81364019 |   82093109 |   81205211 |   81344210 |   81335757
  Cycles                             |  409902800 |  409902800 |  409902800 |  409902800 |  409902800 |  409902800 |  409902800 |  409902800 |  409902800 |  409902800 |  409902800 |  409902800 |  409902800 |  409902800 |  409902800 |  409902800
  IPC                                |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20
  Time (ns)                          |  102475700 |  102475700 |  102475700 |  102475700 |  102475700 |  102475700 |  102475700 |  102475700 |  102475700 |  102475700 |  102475700 |  102475700 |  102475700 |  102475700 |  102475700 |  102475700
  Idle time (ns)                     |   33276721 |    3666853 |    3606417 |   33826153 |    3671442 |    2381994 |    2615971 |    3554738 |    3388033 |    2270580 |    2517472 |    3320069 |   31814328 |    3082600 |    3233560 |   31942651
  Idle time (%)                      |      32.5% |       3.6% |       3.5% |      33.0% |       3.6% |       2.3% |       2.6% |       3.5% |       3.3% |       2.2% |       2.5% |       3.2% |      31.0% |       3.0% |       3.2% |      31.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    3813695 |    3688224 |    3684624 |    3693454 |    3803847 |    3692874 |    3689294 |    3693196 |    3803984 |    3693299 |    3688614 |    3692595 |    3808352 |    3683908 |    3689474 |    3699485
  num incorrect                      |      20317 |      13701 |      16707 |      16374 |      23502 |      13800 |      16608 |      13656 |      23475 |      14086 |      16762 |      13869 |      22905 |      16322 |      13317 |      13484
  misprediction rate                 |      0.53% |      0.37% |      0.45% |      0.44% |      0.61% |      0.37% |      0.45% |      0.37% |      0.61% |      0.38% |      0.45% |      0.37% |      0.60% |      0.44% |      0.36% |      0.36%
  mpki                               |       0.25 |       0.17 |       0.21 |       0.20 |       0.29 |       0.17 |       0.20 |       0.17 |       0.29 |       0.17 |       0.21 |       0.17 |       0.28 |       0.20 |       0.16 |       0.17
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8688931 |    8636735 |    8637839 |    8647583 |    8683177 |    8642298 |    8643147 |    8642961 |    8683257 |    8643124 |    8642543 |    8642714 |    8687359 |    8636520 |    8638253 |    8649159
    num misses                       |        152 |         52 |         53 |         53 |        152 |         52 |         53 |         53 |        151 |         52 |         53 |         47 |        150 |         53 |         53 |         52
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   29999165 |   29715324 |   29556563 |   29603894 |   29828128 |   29724426 |   29565427 |   29756234 |   29828265 |   29725567 |   29565063 |   29755054 |   29835397 |   29554702 |   29748385 |   29736733
    num misses                       |    2824249 |    2828013 |    2818783 |    2841176 |    2841673 |    2827762 |    2817496 |    2823290 |    2842199 |    2827460 |    2818414 |    2823160 |    2841461 |    2817523 |    2823409 |    2827757
    miss rate                        |      9.41% |      9.52% |      9.54% |      9.60% |      9.53% |      9.51% |      9.53% |      9.49% |      9.53% |      9.51% |      9.53% |      9.49% |      9.52% |      9.53% |      9.49% |      9.51%
    mpki                             |      34.37 |      34.79 |      34.71 |      34.94 |      34.62 |      34.78 |      34.68 |      34.70 |      34.63 |      34.78 |      34.69 |      34.70 |      34.61 |      34.70 |      34.71 |      34.77
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2824401 |    2828065 |    2818836 |    2841229 |    2841825 |    2827814 |    2817549 |    2823343 |    2842350 |    2827512 |    2818467 |    2823207 |    2841611 |    2817576 |    2823462 |    2827809
    num misses                       |    1301518 |    2198747 |    2203045 |    1144959 |    1145508 |    2198992 |    2202267 |    1300154 |    1145941 |    2198626 |    2202884 |    1300145 |    1144891 |    2201528 |    1300206 |    2198589
    miss rate                        |     46.08% |     77.75% |     78.15% |     40.30% |     40.31% |     77.76% |     78.16% |     46.05% |     40.32% |     77.76% |     78.16% |     46.05% |     40.29% |     78.14% |     46.05% |     77.75%
    mpki                             |      15.84 |      27.05 |      27.13 |      14.08 |      13.96 |      27.05 |      27.11 |      15.98 |      13.96 |      27.04 |      27.12 |      15.98 |      13.95 |      27.11 |      15.98 |      27.03
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8688931 |    8636735 |    8637839 |    8647583 |    8683177 |    8642298 |    8643147 |    8642961 |    8683257 |    8643124 |    8642543 |    8642714 |    8687359 |    8636520 |    8638253 |    8649159
    num cache misses                 |      39621 |      44836 |      67409 |      38765 |      84797 |      46925 |      39465 |      91443 |      84558 |      46946 |      39026 |      91524 |      83756 |      38240 |      92054 |      45740
    miss rate                        |      0.46% |      0.52% |      0.78% |      0.45% |      0.98% |      0.54% |      0.46% |      1.06% |      0.97% |      0.54% |      0.45% |      1.06% |      0.96% |      0.44% |      1.07% |      0.53%
    mpki                             |       0.48 |       0.55 |       0.83 |       0.48 |       1.03 |       0.58 |       0.49 |       1.12 |       1.03 |       0.58 |       0.48 |       1.12 |       1.02 |       0.47 |       1.13 |       0.56
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   29999165 |   29715324 |   29556563 |   29603894 |   29828128 |   29724426 |   29565427 |   29756234 |   29828265 |   29725567 |   29565063 |   29755054 |   29835397 |   29554702 |   29748385 |   29736733
    num cache misses                 |    5233469 |    5190146 |    5204622 |    5216298 |    5239084 |    5190006 |    5204421 |    5209391 |    5237279 |    5190160 |    5203891 |    5208986 |    5237928 |    5199899 |    5207169 |    5191811
    miss rate                        |     17.45% |     17.47% |     17.61% |     17.62% |     17.56% |     17.46% |     17.60% |     17.51% |     17.56% |     17.46% |     17.60% |     17.51% |     17.56% |     17.59% |     17.50% |     17.46%
    mpki                             |      63.69 |      63.86 |      64.09 |      64.15 |      63.83 |      63.84 |      64.07 |      64.02 |      63.81 |      63.83 |      64.06 |      64.02 |      63.80 |      64.03 |      64.01 |      63.83
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5850641 |    5811391 |    5851253 |    5835377 |    5904447 |    5813826 |    5823114 |    5877487 |    5901704 |    5813880 |    5822891 |    5877276 |    5901385 |    5816230 |    5875783 |    5814566
    num cache misses                 |    5137802 |    5108495 |    5165613 |    5132869 |    5204041 |    5112331 |    5126189 |    5177532 |    5203002 |    5110063 |    5126965 |    5175045 |    5201356 |    5120338 |    5176482 |    5113446
    miss rate                        |     87.82% |     87.90% |     88.28% |     87.96% |     88.14% |     87.93% |     88.03% |     88.09% |     88.16% |     87.89% |     88.05% |     88.05% |     88.14% |     88.04% |     88.10% |     87.94%
    mpki                             |      62.52 |      62.85 |      63.61 |      63.12 |      63.41 |      62.88 |      63.10 |      63.63 |      63.39 |      62.85 |      63.11 |      63.60 |      63.36 |      63.05 |      63.64 |      62.87
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    7069679 |    7052599 |    7055433 |    7041083 |    7030370 |    6982755 |    7028302 |    7036302 |    7010535 |    7029187 |    7024068 |    7029614 |    7025560 |    7068164 |    7123189 |    7077287
  average dram access latency (ns)   |      68.53 |      68.06 |      68.77 |      70.72 |      67.64 |      67.17 |      68.31 |      67.24 |      67.06 |      67.08 |      67.90 |      70.43 |      67.33 |      76.26 |      72.64 |      68.11
  average dram queueing delay        |      45.10 |      44.64 |      45.34 |      47.29 |      44.21 |      43.74 |      44.88 |      43.81 |      43.63 |      43.65 |      44.47 |      47.00 |      43.90 |      52.83 |      49.21 |      44.68
  average dram bandwidth utilization |     58.00% |     58.00% |     58.00% |     57.00% |     57.00% |     57.00% |     57.00% |     57.00% |     57.00% |     57.00% |     57.00% |     57.00% |     57.00% |     58.00% |     58.00% |     58.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |    3673043 |    3676236 |    3602618 |    3617395 |    3608031 |    3667865 |    3601003 |    3682669 |    3606694 |    3664043 |    3607764 |    3681414 |    3677112 |    3625058 |    3683093 |    3685885
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      38185 |      20112 |     108234 |      93035 |     108331 |      29520 |     102740 |      28949 |     109668 |      31227 |      97681 |      27949 |      37147 |      76446 |      28524 |      12392
