                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  101456903 |   63476945 |   60610487 |   63411265 |  101457055 |   63475025 |   60611930 |   63410346 |  101457001 |   63474439 |   60610250 |   63410321 |  101457279 |   63475594 |   60609819 |   63410750
  Cycles                             |   51642800 |   51642800 |   51642800 |   51642800 |   51642800 |   51642800 |   51642800 |   51642800 |   51642800 |   51642800 |   51642800 |   51642800 |   51642800 |   51642800 |   51642800 |   51642800
  IPC                                |       1.96 |       1.23 |       1.17 |       1.23 |       1.96 |       1.23 |       1.17 |       1.23 |       1.96 |       1.23 |       1.17 |       1.23 |       1.96 |       1.23 |       1.17 |       1.23
  Time (ns)                          |   12910700 |   12910700 |   12910700 |   12910700 |   12910700 |   12910700 |   12910700 |   12910700 |   12910700 |   12910700 |   12910700 |   12910700 |   12910700 |   12910700 |   12910700 |   12910700
  Idle time (ns)                     |     853747 |    5624829 |    5966686 |    5674816 |     825805 |    5399450 |    5830162 |    5652555 |     835615 |    5401438 |    5827463 |    5664456 |     851113 |    5619489 |    5964164 |    5669864
  Idle time (%)                      |       6.6% |      43.6% |      46.2% |      44.0% |       6.4% |      41.8% |      45.2% |      43.8% |       6.5% |      41.8% |      45.1% |      43.9% |       6.6% |      43.5% |      46.2% |      43.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   11067179 |    8511819 |    8126383 |    8502772 |   11067242 |    8511529 |    8126615 |    8502690 |   11067211 |    8511441 |    8126462 |    8502708 |   11067281 |    8511631 |    8126355 |    8502682
  num incorrect                      |      26044 |      21343 |      19810 |      19445 |      26001 |      21333 |      19827 |      19423 |      26031 |      21324 |      19790 |      19385 |      26017 |      21353 |      19776 |      19442
  misprediction rate                 |      0.23% |      0.25% |      0.24% |      0.23% |      0.23% |      0.25% |      0.24% |      0.23% |      0.23% |      0.25% |      0.24% |      0.23% |      0.23% |      0.25% |      0.24% |      0.23%
  mpki                               |       0.26 |       0.34 |       0.33 |       0.31 |       0.26 |       0.34 |       0.33 |       0.31 |       0.26 |       0.34 |       0.33 |       0.31 |       0.26 |       0.34 |       0.33 |       0.31
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    6286107 |    2473686 |    2371085 |    2492289 |    6286128 |    2473344 |    2371402 |    2492203 |    6286128 |    2473306 |    2371273 |    2492204 |    6286183 |    2473571 |    2371050 |    2492170
    num misses                       |        132 |         36 |         36 |         35 |        137 |         36 |         36 |         35 |        138 |         37 |         36 |         35 |        135 |         36 |         36 |         36
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
