                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   86003751 |   62097325 |   59356722 |   62158337 |   86003584 |   62098574 |   59355864 |   62157771 |   86003536 |   62098404 |   59355580 |   62158298 |   86003589 |   62098781 |   59355231 |   62158612
  Cycles                             |  233901200 |  233901200 |  233901200 |  233901200 |  233901200 |  233901200 |  233901200 |  233901200 |  233901200 |  233901200 |  233901200 |  233901200 |  233901200 |  233901200 |  233901200 |  233901200
  IPC                                |       0.37 |       0.27 |       0.25 |       0.27 |       0.37 |       0.27 |       0.25 |       0.27 |       0.37 |       0.27 |       0.25 |       0.27 |       0.37 |       0.27 |       0.25 |       0.27
  Time (ns)                          |   58475300 |   58475300 |   58475300 |   58475300 |   58475300 |   58475300 |   58475300 |   58475300 |   58475300 |   58475300 |   58475300 |   58475300 |   58475300 |   58475300 |   58475300 |   58475300
  Idle time (ns)                     |    7188532 |    9954093 |   11768970 |   11356735 |    5486716 |    8281427 |    9688660 |    9724243 |    6069340 |    8786165 |    9894446 |    9566273 |    8140392 |   11503667 |   11857707 |   11028266
  Idle time (%)                      |      12.3% |      17.0% |      20.1% |      19.4% |       9.4% |      14.2% |      16.6% |      16.6% |      10.4% |      15.0% |      16.9% |      16.4% |      13.9% |      19.7% |      20.3% |      18.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10407772 |    8502192 |    8126569 |    8511364 |   10407709 |    8502260 |    8126340 |    8511485 |   10407755 |    8502243 |    8126333 |    8511228 |   10409413 |    8502338 |    8126281 |    8511290
  num incorrect                      |      26168 |      19534 |      19846 |      21374 |      26210 |      19660 |      19935 |      21223 |      26153 |      19633 |      19948 |      21504 |      24490 |      19620 |      19922 |      21485
  misprediction rate                 |      0.25% |      0.23% |      0.24% |      0.25% |      0.25% |      0.23% |      0.24% |      0.25% |      0.25% |      0.23% |      0.24% |      0.25% |      0.23% |      0.23% |      0.24% |      0.25%
  mpki                               |       0.30 |       0.31 |       0.33 |       0.34 |       0.30 |       0.32 |       0.34 |       0.34 |       0.30 |       0.32 |       0.34 |       0.35 |       0.28 |       0.32 |       0.34 |       0.35
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    5428956 |    2387085 |    2307186 |    2415118 |    5428920 |    2387255 |    2307007 |    2415122 |    5428921 |    2387215 |    2307039 |    2415098 |    5428921 |    2387305 |    2306974 |    2415160
    num misses                       |        131 |         36 |         36 |         36 |        134 |         36 |         36 |         36 |        132 |         36 |         36 |         36 |        131 |         36 |         37 |         36
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   35979251 |   26094118 |   24922812 |   26089345 |   35979182 |   26094599 |   24922515 |   26089137 |   35979164 |   26094548 |   24922381 |   26089323 |   35979169 |   26094679 |   24922255 |   26089429
    num misses                       |      47387 |      43771 |      41990 |      44356 |      47324 |      43782 |      41962 |      44200 |      47370 |      43781 |      41985 |      44252 |      47227 |      43771 |      41970 |      44220
    miss rate                        |      0.13% |      0.17% |      0.17% |      0.17% |      0.13% |      0.17% |      0.17% |      0.17% |      0.13% |      0.17% |      0.17% |      0.17% |      0.13% |      0.17% |      0.17% |      0.17%
    mpki                             |       0.55 |       0.70 |       0.71 |       0.71 |       0.55 |       0.71 |       0.71 |       0.71 |       0.55 |       0.71 |       0.71 |       0.71 |       0.55 |       0.70 |       0.71 |       0.71
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      47518 |      43807 |      42026 |      44392 |      47458 |      43818 |      41998 |      44236 |      47502 |      43817 |      42021 |      44288 |      47358 |      43807 |      42007 |      44256
    num misses                       |      17145 |      13286 |      12848 |      15649 |      17058 |      13354 |      12910 |      15571 |      16995 |      13417 |      12978 |      15510 |      17103 |      13319 |      12874 |      15627
    miss rate                        |     36.08% |     30.33% |     30.57% |     35.25% |     35.94% |     30.48% |     30.74% |     35.20% |     35.78% |     30.62% |     30.88% |     35.02% |     36.11% |     30.40% |     30.65% |     35.31%
    mpki                             |       0.20 |       0.21 |       0.22 |       0.25 |       0.20 |       0.22 |       0.22 |       0.25 |       0.20 |       0.22 |       0.22 |       0.25 |       0.20 |       0.21 |       0.22 |       0.25
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5428956 |    2387085 |    2307186 |    2415118 |    5428920 |    2387255 |    2307007 |    2415122 |    5428921 |    2387215 |    2307039 |    2415098 |    5428921 |    2387305 |    2306974 |    2415160
    num cache misses                 |      16997 |      11580 |      11498 |      11473 |      16976 |      11601 |      11383 |      11368 |      16957 |      11492 |      11424 |      11427 |      16964 |      11506 |      11409 |      11409
    miss rate                        |      0.31% |      0.49% |      0.50% |      0.48% |      0.31% |      0.49% |      0.49% |      0.47% |      0.31% |      0.48% |      0.50% |      0.47% |      0.31% |      0.48% |      0.49% |      0.47%
    mpki                             |       0.20 |       0.19 |       0.19 |       0.18 |       0.20 |       0.19 |       0.19 |       0.18 |       0.20 |       0.19 |       0.19 |       0.18 |       0.20 |       0.19 |       0.19 |       0.18
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   35979251 |   26094118 |   24922812 |   26089345 |   35979182 |   26094599 |   24922515 |   26089137 |   35979164 |   26094548 |   24922381 |   26089323 |   35979169 |   26094679 |   24922255 |   26089429
    num cache misses                 |    2449202 |    2257143 |    2164661 |    2268242 |    2445064 |    2257172 |    2164585 |    2268236 |    2445620 |    2257217 |    2164248 |    2267805 |    2446008 |    2257255 |    2164198 |    2267869
    miss rate                        |      6.81% |      8.65% |      8.69% |      8.69% |      6.80% |      8.65% |      8.69% |      8.69% |      6.80% |      8.65% |      8.68% |      8.69% |      6.80% |      8.65% |      8.68% |      8.69%
    mpki                             |      28.48 |      36.35 |      36.47 |      36.49 |      28.43 |      36.35 |      36.47 |      36.49 |      28.44 |      36.35 |      36.46 |      36.48 |      28.44 |      36.35 |      36.46 |      36.49
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3910896 |    3643314 |    3489794 |    3659397 |    3907181 |    3643375 |    3489589 |    3659303 |    3908263 |    3644598 |    3490042 |    3659739 |    3909128 |    3644653 |    3489970 |    3659791
    num cache misses                 |    1812529 |    1642467 |    1577020 |    1656877 |    1822488 |    1642502 |    1576938 |    1656864 |    1813602 |    1644145 |    1577681 |    1657711 |    1811689 |    1644191 |    1577631 |    1657763
    miss rate                        |     46.35% |     45.08% |     45.19% |     45.28% |     46.64% |     45.08% |     45.19% |     45.28% |     46.40% |     45.11% |     45.21% |     45.30% |     46.35% |     45.11% |     45.20% |     45.30%
    mpki                             |      21.07 |      26.45 |      26.57 |      26.66 |      21.19 |      26.45 |      26.57 |      26.66 |      21.09 |      26.48 |      26.58 |      26.67 |      21.07 |      26.48 |      26.58 |      26.67
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    2497942 |    2584912 |    2661613 |    2739258 |    2843718 |    2950443 |    2971401 |    3039495 |    3105232 |    3131744 |    3188259 |    3259311 |    3314623 |    3360585 |    3407163 |    3457770
  average dram access latency (ns)   |      48.88 |      53.68 |      52.43 |      49.13 |      51.13 |      56.87 |      54.09 |      51.41 |      58.28 |      48.58 |      50.58 |      50.66 |      54.02 |      50.27 |      50.04 |      52.43
