                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   79372285 |   78817591 |   78416440 |   78536600 |   79375387 |   78810981 |   78417357 |   78541762 |   79372642 |   78806671 |   78419647 |   78545128 |   78975096 |   78911152 |   78415104 |   78840842
  Cycles                             |  223746000 |  223746000 |  223746000 |  223746000 |  223746000 |  223746000 |  223746000 |  223746000 |  223746000 |  223746000 |  223746000 |  223746000 |  223746000 |  223746000 |  223746000 |  223746000
  IPC                                |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35
  Time (ns)                          |   55936500 |   55936500 |   55936500 |   55936500 |   55936500 |   55936500 |   55936500 |   55936500 |   55936500 |   55936500 |   55936500 |   55936500 |   55936500 |   55936500 |   55936500 |   55936500
  Idle time (ns)                     |    7255468 |    5134307 |    5060836 |    7367060 |    5235937 |    2095999 |    2372511 |    5375531 |    5205471 |    1980479 |    2404552 |    5447625 |    7047099 |    5314376 |    5172554 |    7369507
  Idle time (%)                      |      13.0% |       9.2% |       9.0% |      13.2% |       9.4% |       3.7% |       4.2% |       9.6% |       9.3% |       3.5% |       4.3% |       9.7% |      12.6% |       9.5% |       9.2% |      13.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    3794841 |    3716099 |    3663826 |    3676881 |    3795514 |    3714427 |    3663456 |    3677508 |    3794892 |    3713822 |    3664405 |    3678586 |    3743496 |    3723186 |    3663340 |    3720220
  num incorrect                      |      21428 |      14244 |      13365 |      12651 |      21358 |      14629 |      13820 |      12955 |      21403 |      14438 |      13458 |      12546 |      21024 |      13876 |      13507 |      14421
  misprediction rate                 |      0.56% |      0.38% |      0.36% |      0.34% |      0.56% |      0.39% |      0.38% |      0.35% |      0.56% |      0.39% |      0.37% |      0.34% |      0.56% |      0.37% |      0.37% |      0.39%
  mpki                               |       0.27 |       0.18 |       0.17 |       0.16 |       0.27 |       0.19 |       0.18 |       0.16 |       0.27 |       0.18 |       0.17 |       0.16 |       0.27 |       0.18 |       0.17 |       0.18
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8267499 |    8201155 |    8153309 |    8168325 |    8268116 |    8199527 |    8153165 |    8169491 |    8267594 |    8198652 |    8153766 |    8170205 |    8220710 |    8210555 |    8152804 |    8205926
    num misses                       |        163 |         52 |         52 |         52 |        157 |         52 |         52 |         52 |        162 |         52 |         53 |         52 |        160 |         52 |         52 |         52
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   30726257 |   30532340 |   30270302 |   30328252 |   30727579 |   30530140 |   30270816 |   30330131 |   30726868 |   30528683 |   30271681 |   30331458 |   30464445 |   30581791 |   30269879 |   30540843
    num misses                       |      67885 |      67895 |      65207 |      65938 |      71067 |      69160 |      65247 |      66919 |      70303 |      67501 |      66310 |      66348 |      68110 |      70301 |      64104 |      67562
    miss rate                        |      0.22% |      0.22% |      0.22% |      0.22% |      0.23% |      0.23% |      0.22% |      0.22% |      0.23% |      0.22% |      0.22% |      0.22% |      0.22% |      0.23% |      0.21% |      0.22%
    mpki                             |       0.86 |       0.86 |       0.83 |       0.84 |       0.90 |       0.88 |       0.83 |       0.85 |       0.89 |       0.86 |       0.85 |       0.84 |       0.86 |       0.89 |       0.82 |       0.86
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      68048 |      67947 |      65259 |      65990 |      71224 |      69212 |      65299 |      66971 |      70465 |      67553 |      66363 |      66400 |      68270 |      70353 |      64156 |      67614
    num misses                       |      17382 |      16324 |      14959 |      15824 |      18002 |      17110 |      15345 |      15811 |      17099 |      16286 |      15361 |      16088 |      16251 |      16498 |      15409 |      16871
    miss rate                        |     25.54% |     24.02% |     22.92% |     23.98% |     25.28% |     24.72% |     23.50% |     23.61% |     24.27% |     24.11% |     23.15% |     24.23% |     23.80% |     23.45% |     24.02% |     24.95%
    mpki                             |       0.22 |       0.21 |       0.19 |       0.20 |       0.23 |       0.22 |       0.20 |       0.20 |       0.22 |       0.21 |       0.20 |       0.20 |       0.21 |       0.21 |       0.20 |       0.21
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8267499 |    8201155 |    8153309 |    8168325 |    8268116 |    8199527 |    8153165 |    8169491 |    8267594 |    8198652 |    8153766 |    8170205 |    8220710 |    8210555 |    8152804 |    8205926
    num cache misses                 |      62373 |      54806 |      54494 |      55679 |      62781 |      54044 |      54770 |      55663 |      62340 |      54057 |      54372 |      55757 |      61788 |      54890 |      54588 |      56120
    miss rate                        |      0.75% |      0.67% |      0.67% |      0.68% |      0.76% |      0.66% |      0.67% |      0.68% |      0.75% |      0.66% |      0.67% |      0.68% |      0.75% |      0.67% |      0.67% |      0.68%
