                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   82152676 |   81294057 |   81225628 |   81303137 |   82156201 |   81287513 |   81228398 |   81306954 |   82151382 |   81291719 |   81226910 |   81307483 |   82148643 |   81292701 |   81227395 |   81308537
  Cycles                             |  365497200 |  365497200 |  365497200 |  365497200 |  365497200 |  365497200 |  365497200 |  365497200 |  365497200 |  365497200 |  365497200 |  365497200 |  365497200 |  365497200 |  365497200 |  365497200
  IPC                                |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22
  Time (ns)                          |   91374300 |   91374300 |   91374300 |   91374300 |   91374300 |   91374300 |   91374300 |   91374300 |   91374300 |   91374300 |   91374300 |   91374300 |   91374300 |   91374300 |   91374300 |   91374300
  Idle time (ns)                     |    5524627 |    4361562 |    4551663 |    6442751 |    4394327 |    2094763 |    2348584 |    5417731 |    4280626 |    2093253 |    2407786 |    5241097 |    5643138 |    4283078 |    4536803 |    6502817
  Idle time (%)                      |       6.0% |       4.8% |       5.0% |       7.1% |       4.8% |       2.3% |       2.6% |       5.9% |       4.7% |       2.3% |       2.6% |       5.7% |       6.2% |       4.7% |       5.0% |       7.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    3809844 |    3691287 |    3687346 |    3690633 |    3810444 |    3690169 |    3687844 |    3691373 |    3809345 |    3690949 |    3687533 |    3691273 |    3808956 |    3690953 |    3687918 |    3691439
  num incorrect                      |      20259 |      13795 |      16755 |      16627 |      20231 |      13708 |      16710 |      16639 |      20590 |      13796 |      16712 |      16804 |      20450 |      13827 |      16561 |      16810
  misprediction rate                 |      0.53% |      0.37% |      0.45% |      0.45% |      0.53% |      0.37% |      0.45% |      0.45% |      0.54% |      0.37% |      0.45% |      0.45% |      0.53% |      0.37% |      0.45% |      0.45%
  mpki                               |       0.25 |       0.17 |       0.21 |       0.20 |       0.25 |       0.17 |       0.21 |       0.20 |       0.25 |       0.17 |       0.21 |       0.21 |       0.25 |       0.17 |       0.20 |       0.21
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8684736 |    8640346 |    8641046 |    8644845 |    8685464 |    8638873 |    8641482 |    8645622 |    8684463 |    8639816 |    8641031 |    8645733 |    8683902 |    8639996 |    8641452 |    8645943
    num misses                       |        152 |         52 |         53 |         53 |        151 |         52 |         53 |         53 |        151 |         52 |         53 |         53 |        150 |         52 |         53 |         53
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   29991266 |   29721329 |   29561967 |   29598749 |   29992619 |   29719022 |   29563164 |   29600225 |   29991395 |   29720641 |   29562695 |   29600379 |   29990091 |   29720887 |   29562644 |   29600691
    num misses                       |    2824478 |    2827553 |    2818379 |    2840987 |    2824356 |    2827782 |    2818498 |    2841053 |    2824199 |    2827762 |    2817467 |    2840294 |    2824171 |    2827627 |    2817522 |    2840408
    miss rate                        |      9.42% |      9.51% |      9.53% |      9.60% |      9.42% |      9.52% |      9.53% |      9.60% |      9.42% |      9.51% |      9.53% |      9.60% |      9.42% |      9.51% |      9.53% |      9.60%
    mpki                             |      34.38 |      34.78 |      34.70 |      34.94 |      34.38 |      34.79 |      34.70 |      34.94 |      34.38 |      34.79 |      34.69 |      34.93 |      34.38 |      34.78 |      34.69 |      34.93
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2824630 |    2827605 |    2818432 |    2841040 |    2824507 |    2827834 |    2818551 |    2841106 |    2824350 |    2827814 |    2817520 |    2840347 |    2824321 |    2827679 |    2817575 |    2840461
    num misses                       |    1301827 |    2198831 |    2203384 |    1144696 |    1301193 |    2198401 |    2202609 |    1144644 |    1301665 |    2198604 |    2201909 |    1144202 |    1301597 |    2198800 |    2202045 |    1144189
    miss rate                        |     46.09% |     77.76% |     78.18% |     40.29% |     46.07% |     77.74% |     78.15% |     40.29% |     46.09% |     77.75% |     78.15% |     40.28% |     46.09% |     77.76% |     78.15% |     40.28%
